District,Zone ID,Zone Name,Zone Type,Zone Speed Limit,Latitude,Longitude,Pincode
Banglore,Z100,Yelahanka Road,primary,80,13.095276,77.5941225,560065
Banglore,Z101,Outer Ring Road,trunk,50,12.90621775,77.595386,560078
Banglore,Z102,Langford Road,tertiary,30,12.9623709,77.5951387,560025
Banglore,Z103,O'Shaungnessy Road,residential,20,12.9617759,77.5985151,560025
Banglore,Z104,Rhenius Street,tertiary,40,12.96536355,77.6010425,560025
Banglore,Z105,Saint Mark's Road,tertiary,40,12.97276125,77.601256,560025
Banglore,Z106,Dairy Circle Flyover,primary,50,12.93721265,77.60071265,560029
Banglore,Z107,Mysore Road,trunk,40,12.95912855,77.55559765,560026
Banglore,Z108,4th Main Road,residential,20,12.9259763,77.5400134,560085
Banglore,Z109,Mount Joy Road,secondary,40,12.9355493,77.5610085,560050
Banglore,Z110,Hanumantha Nagar Main Road / 50 Feet Road,secondary,30,12.94180135,77.56488225,560019
Banglore,Z111,Vivekananda Park Road,tertiary,40,12.93906745,77.547798,560050
Banglore,Z112,Saunders Road,tertiary,40,12.9927979,77.6097172,560005
Banglore,Z113,Bala Gangadhara Swamy Flyover,trunk,40,12.96088705,77.5577793,560026
Banglore,-,Unnamed Zone,unclassified,25,12.96826315,77.588818,560001
Banglore,-,Unnamed Zone,residential,20,12.9592846,77.5694621,560018
Banglore,Z114,Old Veterinary Hospital Road,tertiary,30,12.9397321,77.57656495,560004
Banglore,Z115,Richmond Road,primary,40,12.9684224,77.6142482,560047
Banglore,Z116,Castle Street,residential,20,12.96686125,77.6095718,560025
Banglore,-,Unnamed Zone,service,25,12.925143,77.66470365,560102
Banglore,Z117,NICE Peripheral Ring Road,motorway,80,12.8986948,77.4729299,560060
Banglore,Z117,NICE Peripheral Ring Road,motorway,80,12.86001315,77.65327125,560100
Banglore,Z117,NICE Peripheral Ring Road,motorway,80,12.85790295,77.52758835,560062
Banglore,Z117,NICE Peripheral Ring Road,motorway,80,12.8531887,77.5432732,560062
Banglore,Z117,NICE Peripheral Ring Road,motorway,80,12.8580242,77.5267391,560109
Banglore,Z117,NICE Peripheral Ring Road,motorway,80,12.85776325,77.52749635,560083
Banglore,Z118,14th Main Road,secondary,40,12.9142091,77.63819305,560102
Banglore,Z119,Bellandur Lake Road,tertiary,20,12.93073095,77.6784899,560103
Banglore,Z105,Saint Mark's Road,secondary,40,12.97298025,77.6014898,560001
Banglore,Z120,Magrath Road,primary,50,12.9703376,77.6104093,560025
Banglore,-,Unnamed Zone,service,25,12.9260123,77.66538525,560102
Banglore,-,Unnamed Zone,service,25,12.92686935,77.6650451,560102
Banglore,Z101,Outer Ring Road,trunk,40,12.9173379,77.62271235,560034
Banglore,Z121,21st Cross Road,residential,20,12.9094013,77.6463627,560102
Banglore,Z122,Primrose Road,residential,10,12.97053585,77.61225695,560025
Banglore,Z123,Brunton Cross Road,residential,10,12.9706357,77.61274275,560025
Banglore,Z124,Brunton Road,residential,20,12.96915735,77.61533155,560025
Banglore,Z125,Peenya Inner Ring Road,secondary,40,13.02243745,77.5242526,560058
Banglore,Z126,Vidyaranyapura Road,secondary,40,13.08233725,77.55990815,560097
Banglore,Z127,Atturu Road,secondary,60,13.0978118,77.5670383,560065
Banglore,Z128,Ananthapura - Atturu Road,secondary,60,13.1121194,77.5664045,560064
Banglore,-,Unnamed Zone,trunk_link,40,12.90644115,77.58288285,560078
Banglore,Z108,4th Main Road,residential,40,12.9087513,77.6319179,560068
Banglore,Z129,Namjoshi Road,secondary,40,12.9546325,77.6799487,560037
Banglore,Z130,Aralu Mallige Parthasarathy Road,residential,40,12.9387799,77.5461756,560085
Banglore,-,Unnamed Zone,service,15,13.0475422,77.64364565,560077
Banglore,Z131,Richmond Circle Flyover,primary,30,12.96602535,77.59800825,560025
Banglore,Z101,Outer Ring Road,trunk_link,60,13.04286065,77.5915781,560024
Banglore,Z132,Indian Oil Flyover,primary,40,13.0038376,77.6361009,560043
Banglore,Z133,Gangarams Road,residential,20,12.9580062,77.6400124,560071
Banglore,Z134,3rd Cross Road,residential,30,12.9133242,77.59130775,560078
Banglore,Z135,1st Main Road,secondary,60,12.98021205,77.727282,560066
Banglore,Z136,Sheshadripuram Main Road,tertiary,60,12.99881935,77.58228315,560003
Banglore,Z137,Vyalikaval Main Road,tertiary,40,12.9998088,77.5781536,560003
Banglore,Z138,Vittal Mallya Road,primary,25,12.9716586,77.594015,560001
Banglore,Z139,Rajaram Mohan Roy Road,primary,50,12.9666229,77.59509665,560025
Banglore,Z131,Richmond Circle Flyover,primary,30,12.9649631,77.5978724,560025
Banglore,-,Unnamed Zone,primary,20,12.9655968,77.59737605,560001
Banglore,Z115,Richmond Road,secondary,40,12.96851105,77.6142723,560025
Banglore,-,Unnamed Zone,unclassified,20,12.97591605,77.5915193,560001
Banglore,-,Unnamed Zone,unclassified,25,12.9723403,77.59374695,560001
Banglore,Z140,Ananda Rao Flyover,primary,40,12.9806789,77.57440505,560009
Banglore,Z141,Cottonpete Main Road,secondary,30,12.9738019,77.57039875,560043
Banglore,Z142,Cherry Lane,residential,20,12.92725725,77.6700147,560103
