District,Zone ID,Zone Name,Zone Type,Zone Speed Limit,Latitude,Longitude,Pincode
Coimbatore,Z100,Kamarajar Road,secondary,40,11.0016412,77.02902705,641015
Coimbatore,Z101,Coonoor-Mettupalayam Rd,trunk,35,11.34144025,76.8556331,643103
Coimbatore,Z102,SRI KRISHNA COLLEGE ROAD,residential,30,10.9384403,76.9584885,641105
Coimbatore,Z103,Nachi Angannan Thevar Street,residential,40,10.99744,76.9931118,641001
Coimbatore,-,Unnamed Zone,trunk,100,11.09208625,77.1421503,641407
Coimbatore,Z104,Annur - Karumathampatti Road,primary,60,11.1487481,77.15857095,641659
Coimbatore,Z105,Kaundampalayam - Vadavalli - Onappalayam Road,secondary,40,11.03928475,76.9260078,641001
Coimbatore,Z106,Pollachi - Coimbatore Salai,trunk,40,10.70298815,77.0149307,642002
Coimbatore,Z106,Pollachi - Coimbatore Salai,trunk,80,10.71812735,77.01693155,642120
Coimbatore,Z107,Coimbatore-Mettupalayam Road,trunk,50,11.03681835,76.9504634,641001
Coimbatore,Z108,Thudiyalur - Saravanampatty Road,secondary,40,11.07861635,77.00362035,641001
Coimbatore,Z109,Pollachi Salai,trunk,40,10.9181616,76.98558645,641050
Coimbatore,Z110,Pollachi - Palakkad Road,primary,60,10.6591465,77.00797375,642001
Coimbatore,Z111,Palghat road,primary,20,10.97453935,76.9612974,641008
Coimbatore,Z112,Oppanakara Street,trunk,40,10.9914199,76.96030565,641007
Coimbatore,Z112,Oppanakara Street,trunk,40,10.9942057,76.95955895,641007
Coimbatore,Z113,Rangai Gounder Street,residential,40,10.989776,76.95880815,641007
Coimbatore,Z114,Pollachi-Udumalpet Road,trunk,40,10.65592985,77.0171645,642001
Coimbatore,-,Unnamed Zone,trunk,20,10.97697665,76.96138265,641008
Coimbatore,-,Unnamed Zone,trunk,20,10.97457185,76.96187955,641008
Coimbatore,Z115,Coimbatore Bypass,trunk,70,10.9431841,77.01062595,641050
Coimbatore,Z116,Pollachi road,trunk,20,10.9749527,76.9618785,641008
Coimbatore,-,Unnamed Zone,primary_link,20,10.97448695,76.9619314,641008
Coimbatore,Z109,Pollachi Salai,trunk,40,10.91916045,76.98472295,641050
Coimbatore,Z117,Bharathi Park Road,secondary,30,11.01936405,76.9385371,641001
Coimbatore,Z118,Thadagam Road,primary,40,10.99986,76.94991725,641002
Coimbatore,-,Unnamed Zone,trunk,60,10.6569195,77.01131385,642001
Coimbatore,Z106,Pollachi - Coimbatore Salai,trunk,40,10.66205805,77.00798875,642001
Coimbatore,Z119,Avinashi Road,primary,50,11.0552382,77.065484,641001
Coimbatore,Z106,Pollachi - Coimbatore Salai,trunk,80,10.91745255,76.9866573,641050
Coimbatore,Z111,Palghat road,primary,60,10.90061515,76.9397731,641105
Coimbatore,-,Unnamed Zone,trunk,20,10.97561485,76.9618067,641008
Coimbatore,-,Unnamed Zone,trunk,20,10.9752384,76.96177785,641008
Coimbatore,Z114,Pollachi-Udumalpet Road,trunk,80,10.638219,77.09219885,642003
Coimbatore,-,Unnamed Zone,primary_link,20,10.9746622,76.9615954,641008
Coimbatore,Z111,Palghat road,primary,20,10.9749537,76.9618686,641008
Coimbatore,-,Unnamed Zone,trunk,20,10.97522695,76.96190305,641008
Coimbatore,-,Unnamed Zone,trunk_link,30,11.0066787,77.06996885,641103
Coimbatore,Z119,Avinashi Road,primary,50,11.01678905,76.9900217,641001
Coimbatore,Z120,Avinashi - Tiruppur - Palladam - Pollachi - Meenkarai - Kochi Road,primary,90,10.6562438,77.00675555,642001
Coimbatore,Z121,Udhagamandalam - Kotagiri - Mettupalayam - Sathy - Gobi - Erode Road,primary,50,11.32790915,77.0151057,641302
Coimbatore,Z121,Udhagamandalam - Kotagiri - Mettupalayam - Sathy - Gobi - Erode Road,primary,50,11.31759505,77.0062372,641301
Coimbatore,Z122,Thudiyalur - Kovilpalayam Road,secondary,45,11.0804411,76.9419124,641001
Coimbatore,Z123,Makaliamman koil to Kembanur Road,residential,30,11.2363087,76.9090158,641104
Coimbatore,Z124,Eachanari Railway Flyover,trunk,40,10.939087,76.9799509,641021
Coimbatore,Z125,Sellapanur to Kendepalayam Road,unclassified,30,11.24238745,76.9034522,641104
Coimbatore,Z126,Velliankadu Road to Bathirakaliamman Koil,tertiary,50,11.2442084,76.8925108,641113
Coimbatore,Z126,Velliankadu Road to Bathirakaliamman Koil,tertiary,50,11.2962566,76.8952524,641305
Coimbatore,Z127,Mettupalayam to Bathirakaliamman Koil,tertiary,50,11.29750755,76.89578935,641305
Coimbatore,Z128,Bujanganur to Thekkampatti Road,tertiary,40,11.22387195,76.8900892,641113
Coimbatore,Z129,Peria Subbannan Street,residential,40,11.03004605,76.9474415,641001
Coimbatore,Z130,sorkkavaasal street,residential,40,11.24275445,76.95879655,641104
Coimbatore,Z131,north car street,secondary,40,11.24306585,76.95933915,641104
Coimbatore,Z132,east car street,secondary,40,11.24352875,76.96059735,641104
Coimbatore,Z133,Odhimalai Road,tertiary,40,11.3054088,77.10284765,641653
Coimbatore,-,Unnamed Zone,residential,35,11.07588715,76.95544485,641001
Coimbatore,-,Unnamed Zone,residential,35,11.074785,76.95737975,641001
Coimbatore,-,Unnamed Zone,trunk,50,10.9876107,76.96137325,641008
Coimbatore,Z134,Annur - Thennampalayam Road,secondary,60,11.2331163,77.10438975,641653
Coimbatore,Z135,Devanapuram to ITC road,tertiary,10,11.24074025,76.8737675,641113
Coimbatore,Z135,Devanapuram to ITC road,tertiary,40,11.2389558,76.8819963,641113
Coimbatore,Z136,Vellienkadu to Karamadai Road,secondary,50,11.21380665,76.7547601,641111
Coimbatore,Z136,Vellienkadu to Karamadai Road,secondary,50,11.213278,76.7552071,641111
Coimbatore,-,Unnamed Zone,residential,35,11.0794292,76.9388412,641001
Coimbatore,-,Unnamed Zone,residential,35,11.0795188,76.94830745,641001
Coimbatore,Z137,Railway Station Road,residential,35,11.0811411,76.9442774,641001
Coimbatore,-,Unnamed Zone,residential,35,11.0805361,76.9454957,641001
Coimbatore,-,Unnamed Zone,residential,35,11.08191975,76.9457633,641001
Coimbatore,Z108,Thudiyalur - Saravanampatty Road,secondary,40,11.07715335,76.9504672,641001
Coimbatore,Z108,Thudiyalur - Saravanampatty Road,secondary,35,11.0773888,76.95029455,641001
Coimbatore,Z138,Mariamman Kovil Street,residential,20,11.0288171,76.96495135,641001
Coimbatore,Z139,Jawahar Street,residential,20,11.029337,76.96527445,641001
Coimbatore,Z140,Kumaraswamy Street,residential,20,11.02942865,76.963635,641001
Coimbatore,Z141,Church Road,residential,20,10.99120295,76.993602,641001
Coimbatore,Z142,Rangai Gouder Street,residential,40,10.99786395,76.95745715,641007
Coimbatore,Z111,Palghat road,primary,60,10.89527005,76.93411615,641105
Coimbatore,Z143,Ooty-Coonoor Road,trunk,50,11.30373565,76.9367762,641301
Coimbatore,-,Unnamed Zone,service,10,11.1016873,76.9863577,641035
Coimbatore,-,Unnamed Zone,service,10,11.10256215,76.98497085,641049
Coimbatore,-,Unnamed Zone,service,10,11.10396605,76.98509955,641049
Coimbatore,Z144,Salem - Kochi - Kanyakumari Highway,trunk,70,10.8581365,76.8651509,641112
Coimbatore,Z144,Salem - Kochi - Kanyakumari Highway,trunk,70,10.8926929,76.92396435,641105
Coimbatore,Z144,Salem - Kochi - Kanyakumari Highway,trunk,70,10.87319945,76.9027348,641112
Coimbatore,Z145,Pattanam Road,tertiary,40,11.0016839,77.05852985,641016
Coimbatore,-,Unnamed Zone,residential,35,11.07980635,76.94308265,641001
Coimbatore,-,Unnamed Zone,residential,35,11.0801466,76.94299665,641001
Coimbatore,-,Unnamed Zone,residential,35,11.0789171,76.9422057,641001
Coimbatore,-,Unnamed Zone,residential,35,11.07764755,76.94445755,641001
Coimbatore,-,Unnamed Zone,residential,35,11.0788141,76.94520755,641001
Coimbatore,-,Unnamed Zone,residential,35,11.079463,76.9431453,641001
Coimbatore,-,Unnamed Zone,residential,35,11.0804089,76.9459489,641001
Coimbatore,-,Unnamed Zone,residential,35,11.078723,76.947135,641001
Coimbatore,-,Unnamed Zone,residential,35,11.08048165,76.94319855,641001
Coimbatore,-,Unnamed Zone,residential,35,11.08073795,76.9444734,641001
Coimbatore,Z146,Pallivasal Street,residential,30,11.08321835,76.9438682,641001
Coimbatore,-,Unnamed Zone,residential,35,11.081169,76.94422025,641001
Coimbatore,-,Unnamed Zone,residential,35,11.0921682,76.94347165,641001
Coimbatore,-,Unnamed Zone,residential,35,11.08987835,76.9436232,641001
Coimbatore,-,Unnamed Zone,residential,35,11.0911409,76.9448852,641001
Coimbatore,-,Unnamed Zone,residential,35,11.08262355,76.94649445,641001
Coimbatore,-,Unnamed Zone,residential,35,11.09303385,76.9415346,641001
Coimbatore,-,Unnamed Zone,residential,35,11.0838049,76.94641455,641001
Coimbatore,-,Unnamed Zone,residential,35,11.09507755,76.9424591,641001
Coimbatore,-,Unnamed Zone,residential,35,11.0880295,76.9447308,641001
Coimbatore,-,Unnamed Zone,residential,35,11.0953464,76.9444731,641001
Coimbatore,-,Unnamed Zone,residential,35,11.09417895,76.94154245,641001
Coimbatore,-,Unnamed Zone,residential,35,11.09238055,76.94207505,641001
Coimbatore,-,Unnamed Zone,residential,35,11.08704835,76.94503275,641001
Coimbatore,-,Unnamed Zone,residential,35,11.0874228,76.94500725,641001
Coimbatore,-,Unnamed Zone,residential,35,11.08657585,76.945485,641001
Coimbatore,-,Unnamed Zone,residential,35,11.08289375,76.9447765,641001
Coimbatore,-,Unnamed Zone,residential,35,11.0866829,76.9435581,641001
Coimbatore,-,Unnamed Zone,residential,35,11.0887288,76.94454215,641001
Coimbatore,-,Unnamed Zone,residential,35,11.0893813,76.9424438,641001
Coimbatore,-,Unnamed Zone,residential,35,11.09193495,76.9452234,641001
Coimbatore,-,Unnamed Zone,residential,35,11.0872225,76.9440762,641001
Coimbatore,-,Unnamed Zone,residential,35,11.08460415,76.94535215,641001
Coimbatore,-,Unnamed Zone,residential,35,11.09583685,76.94365225,641001
Coimbatore,-,Unnamed Zone,residential,35,11.0918611,76.9418703,641001
Coimbatore,-,Unnamed Zone,residential,35,11.0856876,76.94495035,641001
Coimbatore,-,Unnamed Zone,residential,35,11.0966982,76.94907955,641001
Coimbatore,-,Unnamed Zone,residential,35,11.0983473,76.94169965,641001
Coimbatore,-,Unnamed Zone,tertiary,40,11.10538925,76.94324975,641020
Coimbatore,-,Unnamed Zone,residential,35,11.0936394,76.94173305,641001
Coimbatore,-,Unnamed Zone,residential,35,11.10723405,76.94162225,641020
Coimbatore,-,Unnamed Zone,residential,35,11.09741575,76.94851375,641001
Coimbatore,-,Unnamed Zone,residential,35,11.09120925,76.9462953,641001
Coimbatore,-,Unnamed Zone,residential,35,11.0969836,76.94853885,641001
Coimbatore,-,Unnamed Zone,residential,35,11.0992341,76.9433057,641017
Coimbatore,-,Unnamed Zone,residential,35,11.1068402,76.9417702,641020
Coimbatore,-,Unnamed Zone,residential,35,11.10045175,76.9411976,641017
Coimbatore,-,Unnamed Zone,residential,35,11.10197735,76.93993365,641017
Coimbatore,-,Unnamed Zone,residential,35,11.09895,76.94182625,641017
Coimbatore,-,Unnamed Zone,residential,35,11.09368445,76.9421302,641001
Coimbatore,-,Unnamed Zone,residential,35,11.1003977,76.9407949,641017
Coimbatore,-,Unnamed Zone,residential,35,11.0994915,76.94369445,641017
Coimbatore,-,Unnamed Zone,residential,35,11.10037745,76.9397674,641017
Coimbatore,-,Unnamed Zone,residential,35,11.10311195,76.9411987,641017
Coimbatore,-,Unnamed Zone,residential,35,11.09676605,76.9413753,641001
Coimbatore,-,Unnamed Zone,residential,35,11.0959082,76.94510155,641001
Coimbatore,-,Unnamed Zone,residential,35,11.09717905,76.9418558,641001
Coimbatore,-,Unnamed Zone,residential,35,11.07796085,76.9478826,641001
Coimbatore,-,Unnamed Zone,residential,35,11.0958948,76.9491712,641001
Coimbatore,-,Unnamed Zone,residential,35,11.0991889,76.94261265,641017
