geometry,Pincode,District,Zone ID,Zone Name,Zone Type,Zone Speed Limit,Latitude,Longitude
"POLYGON ((72.08195135 23.51819915, 72.0176333 23.48834495, 72.0417882 23.4937754, 72.07990235 23.51396765, 72.08195135 23.51819915))",334220,Gujarat,-,Unnamed Zone,primary,50,23.51396765,72.07990235
"POLYGON ((72.82783131615453 21.168960249683128, 72.82792438586154 21.168929127724756, 72.82801395692711 21.168889033200585, 72.82809916673291 21.168840352242807, 72.82817919466194 21.168783553675652, 72.8282532700015 21.16871918450037, 72.82832067936555 21.168647864627314, 72.82838077356509 21.168570280905843, 72.82843297386012 21.168487180509608, 72.82847677753325 21.16839936374085, 72.8285117627312 21.168307676323057, 72.82853759252734 21.16821300125619, 72.82855401816664 21.16811625031289, 72.82856088146121 21.168018355257637, 72.82855811631379 21.167920258873323, 72.82854574935423 21.16782290588176, 72.82852389968312 21.16772723384547, 72.82849277772475 21.16763416413846, 72.82845268320058 21.16754459307289, 72.8284040022428 21.167459383267083, 72.82834720367565 21.167379355338053, 72.82828283450037 21.167305279998505, 72.82821151462731 21.167237870634448, 72.82813393090584 21.167177776434908, 72.8280508305096 21.16712557613988, 72.82796301374084 21.16708177246674, 72.82787132632305 21.167046787268806, 72.82777665125619 21.16702095747266, 72.82767990031289 21.167004531833356, 72.82758200525764 21.16699766853878, 72.82748390887332 21.167000433686212, 72.82738655588176 21.16701280064577, 72.82729088384546 21.167034650316875, 72.81402093384547 21.170758950316873, 72.81392786413846 21.170790072275246, 72.81383829307289 21.170830166799416, 72.81375308326709 21.170878847757194, 72.81367305533806 21.17093564632435, 72.8135989799985 21.17100001549963, 72.81353157063445 21.171071335372687, 72.81347147643491 21.171148919094158, 72.81341927613988 21.171232019490393, 72.81337547246675 21.17131983625915, 72.8133404872688 21.171411523676944, 72.81331465747266 21.17150619874381, 72.81329823183336 21.17160294968711, 72.81329136853878 21.171700844742364, 72.81329413368621 21.171798941126678, 72.81330650064577 21.17189629411824, 72.81332835031688 21.171991966154533, 72.81335947227525 21.172085035861542, 72.81339956679942 21.17217460692711, 72.8134482477572 21.172259816732918, 72.81350504632435 21.17233984466195, 72.81356941549963 21.172413920001496, 72.81364073537269 21.172481329365553, 72.81371831909416 21.172541423565093, 72.8138014194904 21.17259362386012, 72.81388923625916 21.17263742753326, 72.81398092367695 21.172672412731195, 72.81407559874381 21.172698242527343, 72.81417234968711 21.172714668166645, 72.81427024474236 21.17272153146122, 72.81436834112668 21.17271876631379, 72.81446569411824 21.17270639935423, 72.81456136615454 21.172684549683126, 72.82783131615453 21.168960249683128))",359007,Gujarat,Z208,Gunatit Nagar,residential,30,21.17172175,72.81429115
"POLYGON ((72.78363485 21.18697655, 72.79321605 21.18570315, 72.7931228 21.18583215, 72.78818565 21.19138685, 72.78363485 21.18697655))",359009,Gujarat,Z282,LP Savani Road,secondary,60,21.18570315,72.79321605
"POLYGON ((70.7990061 22.2783721, 70.7990635 22.2782438, 70.80621835 22.2935143, 70.79903645 22.29194705, 70.7990061 22.2783721))",360001,Gujarat,-,Unnamed Zone,residential,20,22.2935143,70.80621835
"POLYGON ((70.80793785 22.3472452, 70.8012627 22.36319665, 70.80370805 22.35472225, 70.8037544 22.35460305, 70.80781325 22.34736805, 70.80793785 22.3472452))",360003,Gujarat,-,Unnamed Zone,primary,60,22.35460305,70.8037544
"POLYGON ((70.773461 22.2734251, 70.7822284 22.26785125, 70.77787845 22.27582575, 70.773461 22.2734251))",360004,Gujarat,Z118,Nana Mava Main Road,tertiary,40,22.27582575,70.77787845
"POLYGON ((70.7222563 22.2571126, 70.746305 22.2698405, 70.74431125 22.27345145, 70.72754455 22.3023854, 70.7222563 22.2571126))",360005,Gujarat,Z247,Ring Road -2,primary,50,22.2903627,70.73177735
"POLYGON ((70.73704385 22.3282568, 70.73703903472668 22.328158782859667, 70.7370246352804 22.328061709677982, 70.73700079033573 22.327966515322743, 70.73696772953251 22.32787411656763, 70.73692577126435 22.32778540326317, 70.73687531961231 22.32770122976698, 70.73681686045336 22.327622406715836, 70.7367509567812 22.327549693218813, 70.73667824328416 22.327483789546637, 70.73659942023302 22.327425330387697, 70.73651524673683 22.32737487873565, 70.73642653343236 22.327332920467487, 70.73633413467725 22.327299859664265, 70.73623894032201 22.327276014719594, 70.73614186714033 22.327261615273326, 70.73604385 22.327256799999997, 70.73594583285967 22.327261615273326, 70.73584875967799 22.327276014719594, 70.73575356532275 22.327299859664265, 70.73566116656764 22.327332920467487, 70.73557245326317 22.32737487873565, 70.73548827976698 22.327425330387697, 70.73540945671584 22.327483789546637, 70.73533674321881 22.327549693218813, 70.73527083954664 22.327622406715836, 70.7352123803877 22.32770122976698, 70.73516192873565 22.32778540326317, 70.7351199704675 22.32787411656763, 70.73508690966428 22.327966515322743, 70.7350630647196 22.328061709677982, 70.73504866527333 22.328158782859667, 70.73504385 22.3282568, 70.73504866527333 22.32835481714033, 70.7350630647196 22.328451890322015, 70.73508690966428 22.328547084677254, 70.7351199704675 22.328639483432365, 70.73516192873565 22.328728196736826, 70.7352123803877 22.328812370233017, 70.73527083954664 22.32889119328416, 70.73533674321881 22.328963906781183, 70.73540945671584 22.32902981045336, 70.73548827976698 22.3290882696123, 70.73557245326317 22.329138721264346, 70.73566116656764 22.32918067953251, 70.73575356532275 22.32921374033573, 70.73584875967799 22.329237585280403, 70.73594583285967 22.32925198472667, 70.73604385 22.3292568, 70.73614186714033 22.32925198472667, 70.73623894032201 22.329237585280403, 70.73633413467725 22.32921374033573, 70.73642653343236 22.32918067953251, 70.73651524673683 22.329138721264346, 70.73659942023302 22.3290882696123, 70.73667824328416 22.32902981045336, 70.7367509567812 22.328963906781183, 70.73681686045336 22.32889119328416, 70.73687531961231 22.328812370233017, 70.73692577126435 22.328728196736826, 70.73696772953251 22.328639483432365, 70.73700079033573 22.328547084677254, 70.7370246352804 22.328451890322015, 70.73703903472668 22.32835481714033, 70.73704385 22.3282568))",360006,Gujarat,Z247,Ring Road -2,primary,50,22.3282568,70.73604385
"POLYGON ((70.7220499 22.2566053, 70.72104115 22.2517943, 70.7210599 22.2516937, 70.72212895 22.25658215, 70.7220499 22.2566053))",360021,Gujarat,Z329,Nyari Dam 1 Road,unclassified,50,22.2516937,70.7210599
"POLYGON ((70.7789111 22.12060715, 70.77890628472667 22.12050913285967, 70.7788918852804 22.120412059677985, 70.77886804033572 22.120316865322746, 70.7788349795325 22.120224466567635, 70.77879302126435 22.120135753263174, 70.7787425696123 22.120051579766983, 70.77868411045336 22.11997275671584, 70.77861820678119 22.119900043218816, 70.77854549328416 22.11983413954664, 70.77846667023302 22.1197756803877, 70.77838249673682 22.119725228735653, 70.77829378343236 22.11968327046749, 70.77820138467725 22.119650209664268, 70.778106190322 22.119626364719597, 70.77800911714033 22.11961196527333, 70.7779111 22.11960715, 70.77781308285967 22.11961196527333, 70.77771600967799 22.119626364719597, 70.77762081532275 22.119650209664268, 70.77752841656763 22.11968327046749, 70.77743970326317 22.119725228735653, 70.77735552976698 22.1197756803877, 70.77727670671584 22.11983413954664, 70.7772039932188 22.119900043218816, 70.77713808954664 22.11997275671584, 70.77707963038769 22.120051579766983, 70.77702917873565 22.120135753263174, 70.77698722046749 22.120224466567635, 70.77695415966427 22.120316865322746, 70.77693031471959 22.120412059677985, 70.77691591527332 22.12050913285967, 70.77691109999999 22.12060715, 70.77691591527332 22.120705167140333, 70.77693031471959 22.120802240322018, 70.77695415966427 22.120897434677257, 70.77698722046749 22.12098983343237, 70.77702917873565 22.12107854673683, 70.77707963038769 22.12116272023302, 70.77713808954664 22.121241543284164, 70.7772039932188 22.121314256781186, 70.77727670671584 22.121380160453363, 70.77735552976698 22.121438619612302, 70.77743970326317 22.12148907126435, 70.77752841656763 22.121531029532512, 70.77762081532275 22.121564090335735, 70.77771600967799 22.121587935280406, 70.77781308285967 22.121602334726674, 70.7779111 22.121607150000003, 70.77800911714033 22.121602334726674, 70.778106190322 22.121587935280406, 70.77820138467725 22.121564090335735, 70.77829378343236 22.121531029532512, 70.77838249673682 22.12148907126435, 70.77846667023302 22.121438619612302, 70.77854549328416 22.121380160453363, 70.77861820678119 22.121314256781186, 70.77868411045336 22.121241543284164, 70.7787425696123 22.12116272023302, 70.77879302126435 22.12107854673683, 70.7788349795325 22.12098983343237, 70.77886804033572 22.120897434677257, 70.7788918852804 22.120802240322018, 70.77890628472667 22.120705167140333, 70.7789111 22.12060715))",360024,Gujarat,Z186,Gondal Road,trunk,120,22.12060715,70.7779111
