District,Zone ID,Zone Name,Zone Type,Zone Speed Limit,Latitude,Longitude,Pincode
Darjeeling,Z100,Pashupati Road,track,20,26.73170145,88.4059306,734003
Darjeeling,-,Unnamed Zone,track,20,26.7304089,88.4071282,734003
Darjeeling,-,Unnamed Zone,unclassified,20,26.7320166,88.40699505,734003
Darjeeling,Z101,Sirikhola Road,unclassified,30,27.13391715,88.082314,Pincode Not Found
Darjeeling,Z102,Tenzing Norgay Road,residential,20,27.0088745,88.2588222,734103
Darjeeling,-,Unnamed Zone,unclassified,20,26.72994835,88.407614,734003
Darjeeling,-,Unnamed Zone,residential,30,27.0296957,88.25961145,734101
Darjeeling,-,Unnamed Zone,residential,20,27.0394789,88.26236445,734101
Darjeeling,-,Unnamed Zone,residential,20,27.035202,88.25850865,734101
Darjeeling,Z103,Victoria Bridge,residential,20,27.03515275,88.2587172,734101
Darjeeling,Z104,Hill Cart Road,trunk,30,27.03727495,88.2628609,743103
Darjeeling,-,Unnamed Zone,residential,20,27.0366958,88.26003075,734101
Darjeeling,-,Unnamed Zone,residential,20,27.0367817,88.2600685,734101
Darjeeling,Z105,Dr. Zakir Hussain Road,residential,20,27.0432533,88.26796075,734101
Darjeeling,Z106,nehaljote road,residential,40,26.6835921,88.2017294,734429
Darjeeling,Z107,Rai Gaon Road,unclassified,40,26.995994,88.19150105,734221
Darjeeling,Z108,RN Sinha Road,residential,20,27.04128465,88.26474365,734101
