District,Zone ID,Zone Name,Zone Type,Zone Speed Limit,Latitude,Longitude,Pincode
Munnar,Z100,Kochi - Dhanushkodi Road,trunk,70,10.0707204,77.06099285,685612
Munnar,Z101,Munnar-Top Station Highway,primary,50,10.086232,77.06077755,685612
Munnar,-,Unnamed Zone,primary,70,10.0813884,77.0618765,685612
Munnar,Z102,Northern Outlet Road,primary,45,10.13716045,77.059683,685614
Munnar,-,Unnamed Zone,primary,70,10.0847232,77.0628229,685612
Munnar,-,Unnamed Zone,tertiary,40,10.0854834,77.06205145,685612
Munnar,Z100,Kochi - Dhanushkodi Road,trunk,50,10.07038195,77.06086735,685612
Munnar,Z103,Munnar-Devikulam Road,primary,70,10.08630345,77.0611643,685612
Munnar,Z102,Northern Outlet Road,primary,50,10.08881155,77.0595402,685612
Munnar,Z102,Northern Outlet Road,primary,50,10.08555915,77.0606096,685612
Munnar,Z104,Hospital Road,unclassified,30,10.08860535,77.05803135,685612
Munnar,Z102,Northern Outlet Road,primary,45,10.10931175,77.05821285,685612
Munnar,Z102,Northern Outlet Road,primary,45,10.08911365,77.0596554,685612
Munnar,Z102,Northern Outlet Road,primary,45,10.1278447,77.05639725,685612
Munnar,Z102,Northern Outlet Road,primary,45,10.10950845,77.05833755,685612
Munnar,Z102,Northern Outlet Road,primary,45,10.12359885,77.0579902,685612
Munnar,Z102,Northern Outlet Road,primary,45,10.13707345,77.0596733,685612
Munnar,-,Unnamed Zone,unclassified,40,10.16227845,77.08324525,685614
Munnar,-,Unnamed Zone,unclassified,40,10.1650955,77.1015049,685614
Munnar,-,Unnamed Zone,unclassified,40,10.14817205,77.106247,685614
Munnar,Z102,Northern Outlet Road,primary,45,10.18073035,77.10705025,685614
Munnar,Z102,Northern Outlet Road,primary,45,10.1804999,77.1070169,685614
Munnar,Z102,Northern Outlet Road,primary,45,10.1884395,77.11241605,685614
Munnar,Z102,Northern Outlet Road,primary,45,10.1883072,77.1123115,685614
Munnar,Z105,Tea County Road,unclassified,30,10.0868121,77.06586235,685612
Munnar,Z106,Tea COunty Road,unclassified,30,10.08674345,77.06570275,685612
Munnar,-,Unnamed Zone,service,30,10.09579565,77.0994503,685612
Munnar,-,Unnamed Zone,service,30,10.09544105,77.09995585,685612
Munnar,Z107,Munnar - Top Station Highway,primary,45,10.08708445,77.0617769,685612
Munnar,-,Unnamed Zone,primary,50,10.08458755,77.0628319,685612
Munnar,-,Unnamed Zone,trunk,70,10.0812478,77.06203665,685612
Munnar,-,Unnamed Zone,trunk,70,10.0819774,77.06223155,685612
Munnar,-,Unnamed Zone,trunk,70,10.084569,77.0627838,685612
Munnar,-,Unnamed Zone,primary,70,10.0811765,77.0619395,685612
Munnar,Z102,Northern Outlet Road,primary,45,10.12773945,77.0564794,685612
Munnar,Z102,Northern Outlet Road,primary,45,10.1238144,77.0579442,685612
Munnar,Z100,Kochi - Dhanushkodi Road,trunk,50,10.05581335,77.0533538,685613
Munnar,-,Unnamed Zone,unclassified,30,10.0920391,77.06738815,685612
Munnar,Z100,Kochi - Dhanushkodi Road,trunk,60,10.0845432,77.06288575,685612
Munnar,-,Unnamed Zone,unclassified,30,10.08713215,77.0583784,685612
Munnar,Z100,Kochi - Dhanushkodi Road,trunk,50,10.06509585,77.06496255,685612
Munnar,Z102,Northern Outlet Road,primary,45,10.2207375,77.135508,Pincode Not Found
Munnar,Z102,Northern Outlet Road,primary,45,10.1497897,77.07281245,685614
Munnar,Z108,Albert Road,unclassified,20-30,10.07341175,76.9760981,685565
Munnar,Z103,Munnar-Devikulam Road,primary,70,10.086307,77.0611147,685612
