geometry,Pincode,District,Zone ID,Zone Name,Zone Type,Zone Speed Limit,Latitude,Longitude
"POLYGON ((79.4611333 29.3804166, 79.46112848472667 29.38031858285967, 79.4611140852804 29.380221509677984, 79.46109024033572 29.380126315322745, 79.4610571795325 29.380033916567633, 79.46101522126435 29.379945203263173, 79.4609647696123 29.37986102976698, 79.46090631045335 29.379782206715838, 79.46084040678119 29.379709493218815, 79.46076769328415 29.37964358954664, 79.46068887023301 29.3795851303877, 79.46060469673682 29.379534678735652, 79.46051598343236 29.37949272046749, 79.46042358467724 29.379459659664267, 79.460328390322 29.379435814719596, 79.46023131714033 29.379421415273328, 79.4601333 29.3794166, 79.46003528285966 29.379421415273328, 79.45993820967799 29.379435814719596, 79.45984301532275 29.379459659664267, 79.45975061656763 29.37949272046749, 79.45966190326317 29.379534678735652, 79.45957772976698 29.3795851303877, 79.45949890671584 29.37964358954664, 79.4594261932188 29.379709493218815, 79.45936028954664 29.379782206715838, 79.45930183038769 29.37986102976698, 79.45925137873564 29.379945203263173, 79.45920942046749 29.380033916567633, 79.45917635966427 29.380126315322745, 79.45915251471959 29.380221509677984, 79.45913811527332 29.38031858285967, 79.45913329999999 29.3804166, 79.45913811527332 29.38051461714033, 79.45915251471959 29.380611690322016, 79.45917635966427 29.380706884677256, 79.45920942046749 29.380799283432367, 79.45925137873564 29.380887996736828, 79.45930183038769 29.38097217023302, 79.45936028954664 29.381050993284163, 79.4594261932188 29.381123706781185, 79.45949890671584 29.38118961045336, 79.45957772976698 29.3812480696123, 79.45966190326317 29.38129852126435, 79.45975061656763 29.38134047953251, 79.45984301532275 29.381373540335733, 79.45993820967799 29.381397385280405, 79.46003528285966 29.381411784726673, 79.4601333 29.3814166, 79.46023131714033 29.381411784726673, 79.460328390322 29.381397385280405, 79.46042358467724 29.381373540335733, 79.46051598343236 29.38134047953251, 79.46060469673682 29.38129852126435, 79.46068887023301 29.3812480696123, 79.46076769328415 29.38118961045336, 79.46084040678119 29.381123706781185, 79.46090631045335 29.381050993284163, 79.4609647696123 29.38097217023302, 79.46101522126435 29.380887996736828, 79.4610571795325 29.380799283432367, 79.46109024033572 29.380706884677256, 79.4611140852804 29.380611690322016, 79.46112848472667 29.38051461714033, 79.4611333 29.3804166))",236002,Nainital,-,Unnamed Zone,tertiary,20,29.3804166,79.4601333
"POLYGON ((79.12845835 29.39036475, 79.12844405 29.39026825, 79.1284471 29.3901523, 79.12845835 29.39036475))",244715,Nainital,-,Unnamed Zone,trunk,50,29.39036475,79.12845835
"POLYGON ((79.02313810000001 29.27874845, 79.02313328472668 29.278650432859667, 79.02311888528041 29.278553359677982, 79.02309504033573 29.278458165322743, 79.02306197953251 29.27836576656763, 79.02302002126436 29.27827705326317, 79.02296956961231 29.27819287976698, 79.02291111045336 29.278114056715836, 79.0228452067812 29.278041343218813, 79.02277249328417 29.277975439546637, 79.02269367023302 29.277916980387698, 79.02260949673683 29.27786652873565, 79.02252078343237 29.277824570467487, 79.02242838467726 29.277791509664265, 79.02233319032202 29.277767664719594, 79.02223611714034 29.277753265273326, 79.0221381 29.277748449999997, 79.02204008285968 29.277753265273326, 79.021943009678 29.277767664719594, 79.02184781532276 29.277791509664265, 79.02175541656764 29.277824570467487, 79.02166670326318 29.27786652873565, 79.02158252976699 29.277916980387698, 79.02150370671585 29.277975439546637, 79.02143099321881 29.278041343218813, 79.02136508954665 29.278114056715836, 79.0213066303877 29.27819287976698, 79.02125617873565 29.27827705326317, 79.0212142204675 29.27836576656763, 79.02118115966428 29.278458165322743, 79.0211573147196 29.278553359677982, 79.02114291527333 29.278650432859667, 79.0211381 29.27874845, 79.02114291527333 29.27884646714033, 79.0211573147196 29.278943540322015, 79.02118115966428 29.279038734677254, 79.0212142204675 29.279131133432365, 79.02125617873565 29.279219846736826, 79.0213066303877 29.279304020233017, 79.02136508954665 29.27938284328416, 79.02143099321881 29.279455556781183, 79.02150370671585 29.27952146045336, 79.02158252976699 29.2795799196123, 79.02166670326318 29.279630371264346, 79.02175541656764 29.27967232953251, 79.02184781532276 29.27970539033573, 79.021943009678 29.279729235280403, 79.02204008285968 29.27974363472667, 79.0221381 29.27974845, 79.02223611714034 29.27974363472667, 79.02233319032202 29.279729235280403, 79.02242838467726 29.27970539033573, 79.02252078343237 29.27967232953251, 79.02260949673683 29.279630371264346, 79.02269367023302 29.2795799196123, 79.02277249328417 29.27952146045336, 79.0228452067812 29.279455556781183, 79.02291111045336 29.27938284328416, 79.02296956961231 29.279304020233017, 79.02302002126436 29.279219846736826, 79.02306197953251 29.279131133432365, 79.02309504033573 29.279038734677254, 79.02311888528041 29.278943540322015, 79.02313328472668 29.27884646714033, 79.02313810000001 29.27874845))",244716,Nainital,-,Unnamed Zone,trunk,50,29.27874845,79.0221381
"POLYGON ((79.4825428 29.23049765, 79.48136545 29.2306552, 79.48245055 29.2294225, 79.4825428 29.23049765))",262402,Nainital,Z120,Gali No. 2,residential,30,29.2306552,79.48136545
"POLYGON ((79.4376850687257 29.393588736674996, 79.4377448558065 29.393666557312525, 79.4378119827525 29.39373814306373, 79.43788580309455 29.393802804518682, 79.43796560590236 29.393859918952234, 79.4380506226313 29.393908936321168, 79.43814003452377 29.39394938456142, 79.43823298049439 29.393980874134325, 79.43832856542264 29.39400310177809, 79.43842586877341 29.394015853428343, 79.43852395346224 29.39401900627973, 79.43862187487997 29.39401252996857, 79.4387186899898 29.393996486865273, 79.43881346640931 29.393971031473694, 79.43890529138977 29.393936408943176, 79.43899328060641 29.39389295270761, 79.439076586675 29.3938410812743, 79.43915440731253 29.393781294193502, 79.43922599306373 29.393714167247495, 79.43929065451869 29.393640346905457, 79.43934776895223 29.39356054409764, 79.43939678632117 29.393475527368704, 79.43943723456142 29.39338611547623, 79.43946872413433 29.39329316950561, 79.43949095177808 29.393197584577365, 79.43950370342834 29.39310028122659, 79.43950685627973 29.393002196537758, 79.43950037996856 29.39290427512003, 79.43948433686528 29.3928074600102, 79.4394588814737 29.392712683590688, 79.43942425894318 29.39262085861023, 79.4393808027076 29.392532869393584, 79.4393289312743 29.392449563325005, 79.4340971312743 29.384899913325004, 79.4340373441935 29.384822092687475, 79.43397021724749 29.38475050693627, 79.43389639690545 29.384685845481318, 79.43381659409764 29.384628731047766, 79.4337315773687 29.384579713678832, 79.43364216547623 29.38453926543858, 79.43354921950561 29.384507775865675, 79.43345363457736 29.38448554822191, 79.43335633122659 29.384472796571657, 79.43325824653776 29.38446964372027, 79.43316032512003 29.38447612003143, 79.4330635100102 29.384492163134727, 79.43296873359068 29.384517618526306, 79.43287690861023 29.384552241056824, 79.43278891939359 29.38459569729239, 79.432705613325 29.3846475687257, 79.43262779268747 29.384707355806498, 79.43255620693627 29.384774482752505, 79.43249154548131 29.384848303094543, 79.43243443104777 29.38492810590236, 79.43238541367883 29.385013122631296, 79.43234496543857 29.38510253452377, 79.43231347586567 29.38519548049439, 79.43229124822192 29.385291065422635, 79.43227849657166 29.38538836877341, 79.43227534372026 29.385486453462242, 79.43228182003143 29.38558437487997, 79.43229786313472 29.3856811899898, 79.4323233185263 29.385775966409312, 79.43235794105682 29.38586779138977, 79.4324013972924 29.385955780606416, 79.4324532687257 29.386039086674995, 79.4376850687257 29.393588736674996))",263001,Nainital,-,Unnamed Zone,unclassified,40,29.3854695,79.4332752
"POLYGON ((79.45501055493033 29.39272535327199, 79.45508837787688 29.392665569196794, 79.45515996622056 29.392598445015587, 79.45522463052653 29.39252462717093, 79.45528174804214 29.392444826569015, 79.45533076869451 29.39235981173327, 79.45537122038796 29.39227040140303, 79.45540271355055 29.39217745664866, 79.45542494488593 29.39208187257895, 79.4554377002942 29.39198456972074, 79.45544085693376 29.391886485153744, 79.45543438440447 29.391788563485967, 79.45541834504033 29.391691747756596, 79.45539289330918 29.39159697035403, 79.45535827432512 29.39150514403647, 79.45531482148786 29.39141715314154, 79.455262953272 29.39133384506967, 79.45520316919679 29.39125602212313, 79.45513604501559 29.391184433779436, 79.45506222717093 29.391119769473473, 79.45498242656902 29.39106265195786, 79.45489741173327 29.391013631305487, 79.45480800140304 29.390973179612043, 79.45471505664867 29.390941686449445, 79.45461947257895 29.390919455114062, 79.45452216972075 29.390906699705813, 79.45442408515375 29.390903543066248, 79.45432616348597 29.39091001559553, 79.4542293477566 29.390926054959667, 79.45413457035403 29.390951506690815, 79.45404274403647 29.39098612567489, 79.45395475314155 29.391029578512146, 79.45387144506968 29.39108144672801, 79.44905839506968 29.39441654672801, 79.44898057212313 29.394476330803208, 79.44890898377945 29.394543454984415, 79.44884431947348 29.394617272829073, 79.44878720195787 29.394697073430986, 79.4487381813055 29.39478208826673, 79.44869772961205 29.39487149859697, 79.44866623644945 29.39496444335134, 79.44864400511408 29.395060027421053, 79.44863124970581 29.39515733027926, 79.44862809306625 29.395255414846257, 79.44863456559554 29.395353336514034, 79.44865060495968 29.395450152243406, 79.44867605669083 29.395544929645972, 79.44871067567489 29.395636755963533, 79.44875412851215 29.395724746858463, 79.44880599672801 29.39580805493033, 79.44886578080322 29.39588587787687, 79.44893290498442 29.395957466220565, 79.44900672282908 29.39602213052653, 79.44908652343099 29.396079248042142, 79.44917153826674 29.396128268694515, 79.44926094859697 29.39616872038796, 79.44935389335134 29.396200213550557, 79.44944947742106 29.39622244488594, 79.44954678027926 29.39623520029419, 79.44964486484626 29.396238356933754, 79.44974278651404 29.39623188440447, 79.44983960224342 29.396215845040334, 79.44993437964598 29.396190393309187, 79.45002620596354 29.396155774325113, 79.45011419685846 29.396112321487855, 79.45019750493033 29.396060453271993, 79.45501055493033 29.39272535327199))",263002,Nainital,-,Unnamed Zone,primary,40,29.3952385,79.44962795
"POLYGON ((79.45596715 29.3915152, 79.4636306 29.38028285, 79.5151679 29.3848429, 79.51511455 29.38502915, 79.50241275 29.38693145, 79.45596715 29.3915152))",263003,Nainital,Z101,Snowview Road,tertiary,20,29.3844974,79.46326035
"POLYGON ((79.5450959 29.29122075, 79.5345916 29.24074745, 79.54455935 29.26443935, 79.54799955 29.29137845, 79.5450959 29.29122075))",263126,Nainital,Z110,Haldwani - Bheemtal Highway,primary,50,29.29137845,79.54799955
"POLYGON ((79.54602195000001 29.2912993, 79.54601713472668 29.291201282859667, 79.54600273528041 29.291104209677982, 79.54597889033573 29.291009015322743, 79.54594582953251 29.290916616567632, 79.54590387126436 29.29082790326317, 79.54585341961231 29.29074372976698, 79.54579496045336 29.290664906715836, 79.5457290567812 29.290592193218814, 79.54565634328416 29.290526289546637, 79.54557752023302 29.290467830387698, 79.54549334673683 29.29041737873565, 79.54540463343237 29.290375420467488, 79.54531223467725 29.290342359664265, 79.54521704032202 29.290318514719594, 79.54511996714034 29.290304115273326, 79.54502195 29.290299299999997, 79.54492393285967 29.290304115273326, 79.544826859678 29.290318514719594, 79.54473166532276 29.290342359664265, 79.54463926656764 29.290375420467488, 79.54455055326318 29.29041737873565, 79.54446637976699 29.290467830387698, 79.54438755671585 29.290526289546637, 79.54431484321881 29.290592193218814, 79.54424893954665 29.290664906715836, 79.5441904803877 29.29074372976698, 79.54414002873565 29.29082790326317, 79.5440980704675 29.290916616567632, 79.54406500966428 29.291009015322743, 79.5440411647196 29.291104209677982, 79.54402676527333 29.291201282859667, 79.54402195 29.2912993, 79.54402676527333 29.29139731714033, 79.5440411647196 29.291494390322015, 79.54406500966428 29.291589584677254, 79.5440980704675 29.291681983432365, 79.54414002873565 29.291770696736826, 79.5441904803877 29.291854870233017, 79.54424893954665 29.29193369328416, 79.54431484321881 29.292006406781184, 79.54438755671585 29.29207231045336, 79.54446637976699 29.2921307696123, 79.54455055326318 29.292181221264347, 79.54463926656764 29.29222317953251, 79.54473166532276 29.292256240335732, 79.544826859678 29.292280085280403, 79.54492393285967 29.29229448472667, 79.54502195 29.2922993, 79.54511996714034 29.29229448472667, 79.54521704032202 29.292280085280403, 79.54531223467725 29.292256240335732, 79.54540463343237 29.29222317953251, 79.54549334673683 29.292181221264347, 79.54557752023302 29.2921307696123, 79.54565634328416 29.29207231045336, 79.5457290567812 29.292006406781184, 79.54579496045336 29.29193369328416, 79.54585341961231 29.291854870233017, 79.54590387126436 29.291770696736826, 79.54594582953251 29.291681983432365, 79.54597889033573 29.291589584677254, 79.54600273528041 29.291494390322015, 79.54601713472668 29.29139731714033, 79.54602195000001 29.2912993))",263127,Nainital,Z109,Nainital - Haldwani Highway,trunk,40,29.2912993,79.54502195
"POLYGON ((79.339482 29.2936431, 79.33947718472668 29.29354508285967, 79.3394627852804 29.293448009677984, 79.33943894033573 29.293352815322745, 79.3394058795325 29.293260416567634, 79.33936392126435 29.293171703263173, 79.3393134696123 29.293087529766982, 79.33925501045336 29.29300870671584, 79.33918910678119 29.292935993218816, 79.33911639328416 29.29287008954664, 79.33903757023302 29.2928116303877, 79.33895339673683 29.292761178735653, 79.33886468343236 29.29271922046749, 79.33877228467725 29.292686159664267, 79.33867709032201 29.292662314719596, 79.33858001714033 29.292647915273328, 79.338482 29.2926431, 79.33838398285967 29.292647915273328, 79.33828690967799 29.292662314719596, 79.33819171532275 29.292686159664267, 79.33809931656764 29.29271922046749, 79.33801060326317 29.292761178735653, 79.33792642976698 29.2928116303877, 79.33784760671584 29.29287008954664, 79.3377748932188 29.292935993218816, 79.33770898954664 29.29300870671584, 79.33765053038769 29.293087529766982, 79.33760007873565 29.293171703263173, 79.33755812046749 29.293260416567634, 79.33752505966427 29.293352815322745, 79.3375012147196 29.293448009677984, 79.33748681527332 29.29354508285967, 79.337482 29.2936431, 79.33748681527332 29.293741117140332, 79.3375012147196 29.293838190322017, 79.33752505966427 29.293933384677256, 79.33755812046749 29.294025783432367, 79.33760007873565 29.294114496736828, 79.33765053038769 29.29419867023302, 79.33770898954664 29.294277493284163, 79.3377748932188 29.294350206781186, 79.33784760671584 29.294416110453362, 79.33792642976698 29.2944745696123, 79.33801060326317 29.29452502126435, 79.33809931656764 29.29456697953251, 79.33819171532275 29.294600040335734, 79.33828690967799 29.294623885280405, 79.33838398285967 29.294638284726673, 79.338482 29.294643100000002, 79.33858001714033 29.294638284726673, 79.33867709032201 29.294623885280405, 79.33877228467725 29.294600040335734, 79.33886468343236 29.29456697953251, 79.33895339673683 29.29452502126435, 79.33903757023302 29.2944745696123, 79.33911639328416 29.294416110453362, 79.33918910678119 29.294350206781186, 79.33925501045336 29.294277493284163, 79.3393134696123 29.29419867023302, 79.33936392126435 29.294114496736828, 79.3394058795325 29.294025783432367, 79.33943894033573 29.293933384677256, 79.3394627852804 29.293838190322017, 79.33947718472668 29.293741117140332, 79.339482 29.2936431))",263128,Nainital,Z100,Kaldhungi-Nainital Road,primary,40,29.2936431,79.338482
