District,Zone ID,Zone Name,Zone Type,Zone Speed Limit,Latitude,Longitude,Pincode
Ooty,Z100,Udhagamandalam - Kotagiri - Mettupalayam - Sathy - Gobi - Erode Road,primary,40,11.4147527,76.7147136,643001
Ooty,Z101,Ooty-butterkambai-Thummanatty-Kammbatty-Morigal-Kappachi,tertiary,20,11.4203734,76.74838305,643002
Ooty,Z102,Ooty-Coonoor-Mettupalayam- Road,trunk,35,11.37331475,76.75832925,643215
Ooty,Z103,Kappachi-Kanakombai-rd,tertiary,30,11.42724995,76.7551188,643402
Ooty,Z104,K.K.Morachan Rd,unclassified,20,11.43644355,76.76609335,643402
Ooty,Z105,Kappachi Baragal Valley Rd,tertiary,20,11.43738415,76.7662524,643402
Ooty,Z106,Hebron School Driveway,residential,20,11.4176118,76.7109597,643001
Ooty,Z107,Perar-morigal rd,residential,25,11.41288555,76.7653101,643214
Ooty,Z101,Ooty-butterkambai-Thummanatty-Kammbatty-Morigal-Kappachi,tertiary,20,11.4297293,76.7681502,643214
Ooty,Z101,Ooty-butterkambai-Thummanatty-Kammbatty-Morigal-Kappachi,tertiary,20,11.42979185,76.7680503,643402
Ooty,Z102,Ooty-Coonoor-Mettupalayam- Road,trunk,35,11.39729735,76.7176199,643001
Ooty,Z102,Ooty-Coonoor-Mettupalayam- Road,trunk,35,11.3957276,76.71744925,643001
Ooty,Z102,Ooty-Coonoor-Mettupalayam- Road,trunk,35,11.39715325,76.7176222,643001
