District,Zone ID,Zone Name,Zone Type,Zone Speed Limit,Latitude,Longitude,Pincode
Shimla,Z100,Cart Road,secondary,40,31.08819725,77.18154385,171001
Shimla,Z101,SH13,primary,30,31.2302998,77.12196535,Pincode Not Found
Shimla,Z102,MDR22,secondary,30,31.22996675,77.1669224,Pincode Not Found
Shimla,Z102,MDR22,secondary,30,31.2390349,77.1993318,Pincode Not Found
Shimla,Z102,MDR22,secondary,30,31.24933105,77.24416915,Pincode Not Found
Shimla,Z102,MDR22,secondary,30,31.2663114,77.27209235,Pincode Not Found
Shimla,Z102,MDR22,secondary,30,31.26213705,77.29529595,Pincode Not Found
Shimla,Z102,MDR22,secondary,30,31.2898264,77.32114915,Pincode Not Found
Shimla,Z102,MDR22,secondary,30,31.33374995,77.3448934,172027
Shimla,Z102,MDR22,secondary,30,31.35884395,77.37188475,172027
Shimla,Z102,MDR22,secondary,30,31.3606884,77.39781425,172027
Shimla,-,Unnamed Zone,trunk,40,31.35300385,77.49767355,172033
Shimla,-,Unnamed Zone,trunk,40,31.39947145,77.63469635,172001
Shimla,-,Unnamed Zone,trunk,40,31.4602516,77.67267755,Pincode Not Found
Shimla,-,Unnamed Zone,trunk,40,31.50503975,77.7385223,172201
Shimla,-,Unnamed Zone,trunk,40,31.3888323,77.5544994,172001
Shimla,-,Unnamed Zone,trunk,40,31.5253561,77.7740191,172101
Shimla,-,Unnamed Zone,trunk,40,31.4899269,77.69689505,172201
Shimla,-,Unnamed Zone,trunk,40,31.52489735,77.77399665,172101
Shimla,Z103,Chail - Kufri Road,secondary,40,30.96904235,77.1982273,173217
Shimla,-,Unnamed Zone,trunk,50,31.1013687,77.26330425,Pincode Not Found
Shimla,-,Unnamed Zone,service,30,31.2555501,77.4602757,171213
Shimla,Z104,Hatu road,tertiary,30,31.244066,77.5015075,171213
Shimla,-,Unnamed Zone,trunk,60,31.1022764,77.14366695,171011
Shimla,-,Unnamed Zone,trunk,40,31.311454,77.438497,172029
Shimla,-,Unnamed Zone,trunk,40,31.2857665,77.4429605,171213
Shimla,-,Unnamed Zone,trunk,40,31.2721038,77.4395543,171213
Shimla,-,Unnamed Zone,trunk,40,31.324964,77.448205,172029
Shimla,-,Unnamed Zone,trunk,40,31.306608,77.4570985,172029
Shimla,-,Unnamed Zone,trunk,40,31.32976315,77.4192877,172029
Shimla,-,Unnamed Zone,trunk,40,31.3399507,77.44402065,172029
Shimla,-,Unnamed Zone,trunk,40,31.3344399,77.42116615,172029
Shimla,Z101,SH13,primary,30,31.24666255,77.08686745,175009
Shimla,Z102,MDR22,secondary,30,31.2300333,77.1671255,Pincode Not Found
Shimla,Z102,MDR22,secondary,30,31.2612728,77.2744757,Pincode Not Found
Shimla,Z102,MDR22,secondary,30,31.26124365,77.2745848,Pincode Not Found
Shimla,Z102,MDR22,secondary,30,31.26213945,77.2954697,Pincode Not Found
Shimla,Z102,MDR22,secondary,30,31.2621773,77.2956296,Pincode Not Found
Shimla,Z102,MDR22,secondary,30,31.27541875,77.30957305,Pincode Not Found
Shimla,Z102,MDR22,secondary,30,31.3422196,77.35257215,172027
Shimla,Z102,MDR22,secondary,30,31.34252895,77.35265985,172027
Shimla,-,Unnamed Zone,trunk,30,31.34043275,77.4289316,172029
Shimla,-,Unnamed Zone,trunk,40,31.38505975,77.5534586,172001
Shimla,-,Unnamed Zone,trunk,30,31.3369103,77.4421336,172029
Shimla,-,Unnamed Zone,trunk,30,31.33688985,77.442216,172029
Shimla,-,Unnamed Zone,trunk,30,31.34007035,77.44405905,172029
Shimla,-,Unnamed Zone,trunk,40,31.34980905,77.50174525,172030
Shimla,-,Unnamed Zone,trunk,40,31.3495572,77.50174965,172030
Shimla,Z105,Bhaira Bridge,trunk,40,31.349442,77.52397205,172030
Shimla,Z106,Machhara Bridge,trunk,40,31.3853498,77.55375355,172001
Shimla,-,Unnamed Zone,trunk,40,31.3996719,77.6348021,Pincode Not Found
Shimla,-,Unnamed Zone,trunk,40,31.54735755,77.8211588,Pincode Not Found
Shimla,-,Unnamed Zone,trunk,40,31.49977525,77.72418925,172201
Shimla,-,Unnamed Zone,trunk,40,31.4996306,77.7245163,172201
Shimla,-,Unnamed Zone,trunk,40,31.52601025,77.7807534,172101
Shimla,-,Unnamed Zone,trunk,40,31.52615205,77.78108955,172101
Shimla,Z107,Shimla Bridge,trunk,40,31.5472353,77.8210395,Pincode Not Found
Shimla,-,Unnamed Zone,trunk,50,31.1190645,77.3362085,171201
Shimla,-,Unnamed Zone,trunk,50,31.08809815,77.2883682,171209
Shimla,-,Unnamed Zone,trunk,50,31.09784495,77.31414385,171209
Shimla,-,Unnamed Zone,trunk,50,31.1926645,77.3796925,171212
Shimla,-,Unnamed Zone,trunk,50,31.1297285,77.350907,171201
Shimla,-,Unnamed Zone,trunk,50,31.1179148,77.3741077,171212
Shimla,-,Unnamed Zone,trunk,50,31.1394815,77.386988,171212
Shimla,-,Unnamed Zone,trunk,50,31.1654775,77.376184,171212
Shimla,Z104,Hatu road,tertiary,30,31.2512865,77.4908965,171213
Shimla,-,Unnamed Zone,trunk,50,31.21869915,77.4122917,Pincode Not Found
Shimla,-,Unnamed Zone,trunk,50,31.2021004,77.42068405,Pincode Not Found
Shimla,-,Unnamed Zone,trunk,50,31.2216855,77.4359225,Pincode Not Found
Shimla,-,Unnamed Zone,trunk,50,31.2404998,77.4274379,171213
Shimla,Z104,Hatu road,tertiary,30,31.248862,77.5007135,171213
Shimla,-,Unnamed Zone,trunk,40,31.2964955,77.4599355,172029
Shimla,Z103,Chail - Kufri Road,secondary,40,31.07332835,77.267276,Pincode Not Found
Shimla,Z103,Chail - Kufri Road,secondary,40,31.0583483,77.2735693,Pincode Not Found
Shimla,Z103,Chail - Kufri Road,secondary,40,31.0532073,77.25331795,Pincode Not Found
Shimla,Z103,Chail - Kufri Road,secondary,40,31.0123762,77.2302034,Pincode Not Found
Shimla,Z103,Chail - Kufri Road,secondary,40,30.9926766,77.2122125,173217
Shimla,-,Unnamed Zone,trunk,40,31.34941105,77.5236867,172030
Shimla,Z108,Shimla Bypass,trunk,60,31.10050185,77.1418436,171004
Shimla,Z108,Shimla Bypass,trunk,60,31.0697416,77.19242495,171006
Shimla,-,Unnamed Zone,trunk,40,31.51458635,77.75684945,172101
Shimla,-,Unnamed Zone,trunk,40,31.51471005,77.7564177,175007
Shimla,Z102,MDR22,secondary,30,31.34366355,77.42315855,172027
Shimla,Z109,Dhalli-Sanjauli ByPass Road,primary,60,31.10630645,77.1892865,171012
Shimla,Z110,Sanjauli Bazar to Dhingu mata Temple,residential,20,31.1032137,77.1995358,171006
Shimla,Z100,Cart Road,secondary,40,31.0922982,77.17522335,171002
Shimla,Z104,Hatu road,secondary,30,31.251807,77.472191,171213
Shimla,-,Unnamed Zone,trunk,40,31.3529924,77.4865738,172033
Shimla,Z102,MDR22,secondary,30,31.34300565,77.4234266,172029
Shimla,Z102,MDR22,secondary,30,31.3400929,77.4287167,172029
Shimla,Z102,MDR22,secondary,30,31.2411918,77.2042792,Pincode Not Found
Shimla,Z102,MDR22,secondary,30,31.24115785,77.2043738,Pincode Not Found
Shimla,Z102,MDR22,secondary,30,31.2558656,77.25236565,Pincode Not Found
Shimla,Z102,MDR22,secondary,30,31.25606765,77.25271365,Pincode Not Found
Shimla,Z111,GianKot Basadhar Road,unclassified,40,30.9672735,77.4430565,173223
Shimla,-,Unnamed Zone,unclassified,30,31.3238866,77.43755405,172029
Shimla,-,Unnamed Zone,trunk,40,31.49349995,77.7059994,172201
Shimla,-,Unnamed Zone,trunk,40,31.491013,77.70322505,172201
