geometry,Pincode,District,Zone ID,Zone Name,Zone Type,Zone Speed Limit,Latitude,Longitude
"POLYGON ((77.18254385 31.08819725, 77.18253903472667 31.08809923285967, 77.1825246352804 31.088002159677984, 77.18250079033572 31.087906965322745, 77.1824677295325 31.087814566567634, 77.18242577126435 31.087725853263173, 77.1823753196123 31.087641679766982, 77.18231686045335 31.087562856715838, 77.18225095678119 31.087490143218815, 77.18217824328416 31.08742423954664, 77.18209942023302 31.0873657803877, 77.18201524673682 31.087315328735652, 77.18192653343236 31.08727337046749, 77.18183413467725 31.087240309664267, 77.181738940322 31.087216464719596, 77.18164186714033 31.087202065273328, 77.18154385 31.08719725, 77.18144583285967 31.087202065273328, 77.18134875967799 31.087216464719596, 77.18125356532275 31.087240309664267, 77.18116116656763 31.08727337046749, 77.18107245326317 31.087315328735652, 77.18098827976698 31.0873657803877, 77.18090945671584 31.08742423954664, 77.1808367432188 31.087490143218815, 77.18077083954664 31.087562856715838, 77.18071238038769 31.087641679766982, 77.18066192873565 31.087725853263173, 77.18061997046749 31.087814566567634, 77.18058690966427 31.087906965322745, 77.18056306471959 31.088002159677984, 77.18054866527332 31.08809923285967, 77.18054384999999 31.08819725, 77.18054866527332 31.08829526714033, 77.18056306471959 31.088392340322017, 77.18058690966427 31.088487534677256, 77.18061997046749 31.088579933432367, 77.18066192873565 31.088668646736828, 77.18071238038769 31.08875282023302, 77.18077083954664 31.088831643284163, 77.1808367432188 31.088904356781185, 77.18090945671584 31.08897026045336, 77.18098827976698 31.0890287196123, 77.18107245326317 31.08907917126435, 77.18116116656763 31.08912112953251, 77.18125356532275 31.089154190335734, 77.18134875967799 31.089178035280405, 77.18144583285967 31.089192434726673, 77.18154385 31.08919725, 77.18164186714033 31.089192434726673, 77.181738940322 31.089178035280405, 77.18183413467725 31.089154190335734, 77.18192653343236 31.08912112953251, 77.18201524673682 31.08907917126435, 77.18209942023302 31.0890287196123, 77.18217824328416 31.08897026045336, 77.18225095678119 31.088904356781185, 77.18231686045335 31.088831643284163, 77.1823753196123 31.08875282023302, 77.18242577126435 31.088668646736828, 77.1824677295325 31.088579933432367, 77.18250079033572 31.088487534677256, 77.1825246352804 31.088392340322017, 77.18253903472667 31.08829526714033, 77.18254385 31.08819725))",171001,Shimla,Z100,Cart Road,secondary,40,31.08819725,77.18154385
"POLYGON ((77.17622335 31.0922982, 77.17621853472667 31.092200182859667, 77.1762041352804 31.092103109677982, 77.17618029033572 31.092007915322743, 77.1761472295325 31.09191551656763, 77.17610527126435 31.09182680326317, 77.1760548196123 31.09174262976698, 77.17599636045335 31.091663806715836, 77.17593045678119 31.091591093218813, 77.17585774328415 31.091525189546637, 77.17577892023301 31.091466730387697, 77.17569474673682 31.09141627873565, 77.17560603343236 31.091374320467487, 77.17551363467724 31.091341259664265, 77.175418440322 31.091317414719594, 77.17532136714033 31.091303015273326, 77.17522335 31.091298199999997, 77.17512533285966 31.091303015273326, 77.17502825967799 31.091317414719594, 77.17493306532275 31.091341259664265, 77.17484066656763 31.091374320467487, 77.17475195326317 31.09141627873565, 77.17466777976698 31.091466730387697, 77.17458895671584 31.091525189546637, 77.1745162432188 31.091591093218813, 77.17445033954664 31.091663806715836, 77.17439188038769 31.09174262976698, 77.17434142873564 31.09182680326317, 77.17429947046749 31.09191551656763, 77.17426640966427 31.092007915322743, 77.17424256471959 31.092103109677982, 77.17422816527332 31.092200182859667, 77.17422334999999 31.0922982, 77.17422816527332 31.09239621714033, 77.17424256471959 31.092493290322015, 77.17426640966427 31.092588484677254, 77.17429947046749 31.092680883432365, 77.17434142873564 31.092769596736826, 77.17439188038769 31.092853770233017, 77.17445033954664 31.09293259328416, 77.1745162432188 31.093005306781183, 77.17458895671584 31.09307121045336, 77.17466777976698 31.0931296696123, 77.17475195326317 31.093180121264346, 77.17484066656763 31.09322207953251, 77.17493306532275 31.09325514033573, 77.17502825967799 31.093278985280403, 77.17512533285966 31.09329338472667, 77.17522335 31.0932982, 77.17532136714033 31.09329338472667, 77.175418440322 31.093278985280403, 77.17551363467724 31.09325514033573, 77.17560603343236 31.09322207953251, 77.17569474673682 31.093180121264346, 77.17577892023301 31.0931296696123, 77.17585774328415 31.09307121045336, 77.17593045678119 31.093005306781183, 77.17599636045335 31.09293259328416, 77.1760548196123 31.092853770233017, 77.17610527126435 31.092769596736826, 77.1761472295325 31.092680883432365, 77.17618029033572 31.092588484677254, 77.1762041352804 31.092493290322015, 77.17621853472667 31.09239621714033, 77.17622335 31.0922982))",171002,Shimla,Z100,Cart Road,secondary,40,31.0922982,77.17522335
"POLYGON ((77.1428436 31.10050185, 77.14283878472668 31.10040383285967, 77.1428243852804 31.100306759677984, 77.14280054033573 31.100211565322745, 77.14276747953251 31.100119166567634, 77.14272552126435 31.100030453263173, 77.14267506961231 31.099946279766982, 77.14261661045336 31.099867456715838, 77.1425507067812 31.099794743218816, 77.14247799328416 31.09972883954664, 77.14239917023302 31.0996703803877, 77.14231499673683 31.099619928735653, 77.14222628343236 31.09957797046749, 77.14213388467725 31.099544909664267, 77.14203869032201 31.099521064719596, 77.14194161714033 31.099506665273328, 77.1418436 31.09950185, 77.14174558285967 31.099506665273328, 77.14164850967799 31.099521064719596, 77.14155331532275 31.099544909664267, 77.14146091656764 31.09957797046749, 77.14137220326317 31.099619928735653, 77.14128802976698 31.0996703803877, 77.14120920671584 31.09972883954664, 77.14113649321881 31.099794743218816, 77.14107058954664 31.099867456715838, 77.1410121303877 31.099946279766982, 77.14096167873565 31.100030453263173, 77.1409197204675 31.100119166567634, 77.14088665966428 31.100211565322745, 77.1408628147196 31.100306759677984, 77.14084841527333 31.10040383285967, 77.1408436 31.10050185, 77.14084841527333 31.100599867140332, 77.1408628147196 31.100696940322017, 77.14088665966428 31.100792134677256, 77.1409197204675 31.100884533432367, 77.14096167873565 31.100973246736828, 77.1410121303877 31.10105742023302, 77.14107058954664 31.101136243284163, 77.14113649321881 31.101208956781186, 77.14120920671584 31.101274860453362, 77.14128802976698 31.1013333196123, 77.14137220326317 31.10138377126435, 77.14146091656764 31.10142572953251, 77.14155331532275 31.101458790335734, 77.14164850967799 31.101482635280405, 77.14174558285967 31.101497034726673, 77.1418436 31.101501850000002, 77.14194161714033 31.101497034726673, 77.14203869032201 31.101482635280405, 77.14213388467725 31.101458790335734, 77.14222628343236 31.10142572953251, 77.14231499673683 31.10138377126435, 77.14239917023302 31.1013333196123, 77.14247799328416 31.101274860453362, 77.1425507067812 31.101208956781186, 77.14261661045336 31.101136243284163, 77.14267506961231 31.10105742023302, 77.14272552126435 31.100973246736828, 77.14276747953251 31.100884533432367, 77.14280054033573 31.100792134677256, 77.1428243852804 31.100696940322017, 77.14283878472668 31.100599867140332, 77.1428436 31.10050185))",171004,Shimla,Z108,Shimla Bypass,trunk,60,31.10050185,77.1418436
"POLYGON ((77.1985576294381 31.103421503637662, 77.19858270791504 31.10351638048758, 77.19861696518976 31.103608342358942, 77.19866007134598 31.103696503608653, 77.19871161124787 31.103780015195685, 77.198771088538 31.103858072857804, 77.19883793041753 31.103929924857052, 77.19891149316264 31.103994879219396, 77.19899106832388 31.104052310398824, 77.19907588954892 31.10410166530168, 77.19916513996304 31.10414246861327, 77.19925796003592 31.104174327375397, 77.19935345585955 31.104196934770766, 77.19945070775694 31.1042100730778, 77.19954877913914 31.104213615767428, 77.19964672552513 31.104207528721602, 77.19974360363767 31.104191870561905, 77.19983848048759 31.104166792084975, 77.19993044235895 31.104132534810255, 77.20001860360865 31.10408942865402, 77.20010211519569 31.10403788875213, 77.20018017285781 31.10397841146201, 77.20025202485705 31.103911569582475, 77.20031697921941 31.103838006837368, 77.20037441039884 31.103758431676138, 77.2004237653017 31.103673610451082, 77.20046456861327 31.103584360036972, 77.2004964273754 31.103491539964082, 77.20051903477078 31.103396044140453, 77.2005321730778 31.103298792243073, 77.20053571576743 31.10320072086088, 77.20052962872161 31.103102774474888, 77.20051397056191 31.10300589636234, 77.19340312056191 31.06953379636234, 77.19337804208497 31.06943891951242, 77.19334378481025 31.06934695764106, 77.19330067865403 31.06925879639135, 77.19324913875214 31.069175284804317, 77.19318966146201 31.069097227142198, 77.19312281958248 31.06902537514295, 77.19304925683737 31.068960420780606, 77.19296968167613 31.068902989601177, 77.19288486045109 31.06885363469832, 77.19279561003697 31.068812831386733, 77.19270278996409 31.068780972624605, 77.19260729414046 31.068758365229236, 77.19251004224307 31.0687452269222, 77.19241197086087 31.068741684232574, 77.19231402447488 31.0687477712784, 77.19221714636234 31.068763429438096, 77.19212226951242 31.068788507915027, 77.19203030764106 31.068822765189747, 77.19194214639136 31.06886587134598, 77.19185863480432 31.06891741124787, 77.1917805771422 31.068976888537993, 77.19170872514296 31.069043730417526, 77.1916437707806 31.069117293162634, 77.19158633960117 31.069196868323864, 77.19153698469832 31.06928168954892, 77.19149618138674 31.06937093996303, 77.19146432262461 31.06946376003592, 77.19144171522923 31.06955925585955, 77.1914285769222 31.069656507756928, 77.19142503423258 31.069754579139122, 77.1914311212784 31.069852525525114, 77.1914467794381 31.06994940363766, 77.1985576294381 31.103421503637662))",171006,Shimla,Z108,Shimla Bypass,trunk,60,31.0697416,77.19242495
"POLYGON ((77.14466695 31.1022764, 77.14466213472667 31.10217838285967, 77.1446477352804 31.102081309677985, 77.14462389033572 31.101986115322745, 77.1445908295325 31.101893716567634, 77.14454887126435 31.101805003263173, 77.1444984196123 31.101720829766982, 77.14443996045335 31.10164200671584, 77.14437405678119 31.101569293218816, 77.14430134328416 31.10150338954664, 77.14422252023301 31.1014449303877, 77.14413834673682 31.101394478735653, 77.14404963343236 31.10135252046749, 77.14395723467725 31.101319459664268, 77.143862040322 31.101295614719596, 77.14376496714033 31.10128121527333, 77.14366695 31.1012764, 77.14356893285967 31.10128121527333, 77.14347185967799 31.101295614719596, 77.14337666532275 31.101319459664268, 77.14328426656763 31.10135252046749, 77.14319555326317 31.101394478735653, 77.14311137976698 31.1014449303877, 77.14303255671584 31.10150338954664, 77.1429598432188 31.101569293218816, 77.14289393954664 31.10164200671584, 77.14283548038769 31.101720829766982, 77.14278502873564 31.101805003263173, 77.14274307046749 31.101893716567634, 77.14271000966427 31.101986115322745, 77.14268616471959 31.102081309677985, 77.14267176527332 31.10217838285967, 77.14266694999999 31.1022764, 77.14267176527332 31.102374417140332, 77.14268616471959 31.102471490322017, 77.14271000966427 31.102566684677257, 77.14274307046749 31.102659083432368, 77.14278502873564 31.10274779673683, 77.14283548038769 31.10283197023302, 77.14289393954664 31.102910793284163, 77.1429598432188 31.102983506781186, 77.14303255671584 31.103049410453362, 77.14311137976698 31.103107869612302, 77.14319555326317 31.10315832126435, 77.14328426656763 31.103200279532512, 77.14337666532275 31.103233340335734, 77.14347185967799 31.103257185280405, 77.14356893285967 31.103271584726674, 77.14366695 31.103276400000002, 77.14376496714033 31.103271584726674, 77.143862040322 31.103257185280405, 77.14395723467725 31.103233340335734, 77.14404963343236 31.103200279532512, 77.14413834673682 31.10315832126435, 77.14422252023301 31.103107869612302, 77.14430134328416 31.103049410453362, 77.14437405678119 31.102983506781186, 77.14443996045335 31.102910793284163, 77.1444984196123 31.10283197023302, 77.14454887126435 31.10274779673683, 77.1445908295325 31.102659083432368, 77.14462389033572 31.102566684677257, 77.1446477352804 31.102471490322017, 77.14466213472667 31.102374417140332, 77.14466695 31.1022764))",171011,Shimla,-,Unnamed Zone,trunk,60,31.1022764,77.14366695
"POLYGON ((77.1902865 31.10630645, 77.19028168472667 31.10620843285967, 77.1902672852804 31.106111359677985, 77.19024344033572 31.106016165322746, 77.1902103795325 31.105923766567635, 77.19016842126435 31.105835053263174, 77.1901179696123 31.105750879766983, 77.19005951045335 31.10567205671584, 77.18999360678119 31.105599343218817, 77.18992089328415 31.10553343954664, 77.18984207023301 31.1054749803877, 77.18975789673682 31.105424528735654, 77.18966918343236 31.10538257046749, 77.18957678467724 31.10534950966427, 77.189481590322 31.105325664719597, 77.18938451714033 31.10531126527333, 77.1892865 31.10530645, 77.18918848285966 31.10531126527333, 77.18909140967799 31.105325664719597, 77.18899621532275 31.10534950966427, 77.18890381656763 31.10538257046749, 77.18881510326317 31.105424528735654, 77.18873092976698 31.1054749803877, 77.18865210671584 31.10553343954664, 77.1885793932188 31.105599343218817, 77.18851348954664 31.10567205671584, 77.18845503038769 31.105750879766983, 77.18840457873564 31.105835053263174, 77.18836262046749 31.105923766567635, 77.18832955966427 31.106016165322746, 77.18830571471959 31.106111359677985, 77.18829131527332 31.10620843285967, 77.18828649999999 31.10630645, 77.18829131527332 31.106404467140333, 77.18830571471959 31.106501540322018, 77.18832955966427 31.106596734677257, 77.18836262046749 31.10668913343237, 77.18840457873564 31.10677784673683, 77.18845503038769 31.10686202023302, 77.18851348954664 31.106940843284164, 77.1885793932188 31.107013556781187, 77.18865210671584 31.107079460453363, 77.18873092976698 31.107137919612303, 77.18881510326317 31.10718837126435, 77.18890381656763 31.107230329532513, 77.18899621532275 31.107263390335735, 77.18909140967799 31.107287235280406, 77.18918848285966 31.107301634726674, 77.1892865 31.107306450000003, 77.18938451714033 31.107301634726674, 77.189481590322 31.107287235280406, 77.18957678467724 31.107263390335735, 77.18966918343236 31.107230329532513, 77.18975789673682 31.10718837126435, 77.18984207023301 31.107137919612303, 77.18992089328415 31.107079460453363, 77.18999360678119 31.107013556781187, 77.19005951045335 31.106940843284164, 77.1901179696123 31.10686202023302, 77.19016842126435 31.10677784673683, 77.1902103795325 31.10668913343237, 77.19024344033572 31.106596734677257, 77.1902672852804 31.106501540322018, 77.19028168472667 31.106404467140333, 77.1902865 31.10630645))",171012,Shimla,Z109,Dhalli-Sanjauli ByPass Road,primary,60,31.10630645,77.1892865
"POLYGON ((77.35031975859025 31.13053791183996, 77.35040192255205 31.130591574024383, 77.35048895068577 31.130636924334144, 77.35058000486292 31.130673526020978, 77.350674208182 31.13070102659062, 77.35077065341353 31.130719161197565, 77.35086841173724 31.130727755195622, 77.35096654168701 31.130726725819894, 77.35106409821778 31.130716082983838, 77.35116014180684 31.13069592918378, 77.35125374750191 31.130666458511833, 77.35134401382899 31.130627954786675, 77.351430071474 31.13058078882023, 77.35151109165479 31.130525414846538, 77.35158629410269 31.130462366147235, 77.35165495457706 31.13039224991576, 77.35171641183996 31.130315741409756, 77.35177007402439 31.130233577447957, 77.35181542433415 31.13014654931423, 77.35185202602098 31.13005549513708, 77.35187952659064 31.129961291818002, 77.35189766119757 31.129864846586464, 77.35190625519563 31.129767088262764, 77.3519052258199 31.129668958312998, 77.35189458298385 31.129571401782226, 77.3518744291838 31.12947535819317, 77.35184495851185 31.12938175249809, 77.35180645478668 31.129291486171013, 77.35175928882023 31.129205428526, 77.35170391484654 31.129124408345223, 77.35164086614724 31.129049205897314, 77.35157074991577 31.12898054542295, 77.35149424140977 31.12891908816004, 77.33679574140976 31.11825508816004, 77.33671357744795 31.118201425975617, 77.33662654931423 31.118156075665855, 77.33653549513708 31.11811947397902, 77.336441291818 31.118091973409378, 77.33634484658647 31.118073838802434, 77.33624708826277 31.118065244804377, 77.33614895831299 31.118066274180105, 77.33605140178223 31.11807691701616, 77.33595535819316 31.11809707081622, 77.33586175249809 31.118126541488166, 77.33577148617101 31.118165045213324, 77.335685428526 31.11821221117977, 77.33560440834522 31.11826758515346, 77.33552920589732 31.118330633852764, 77.33546054542295 31.118400750084238, 77.33539908816005 31.118477258590243, 77.33534542597562 31.118559422552043, 77.33530007566586 31.11864645068577, 77.33526347397903 31.11873750486292, 77.33523597340937 31.118831708181997, 77.33521783880244 31.118928153413535, 77.33520924480437 31.119025911737236, 77.3352102741801 31.119124041687, 77.33522091701616 31.119221598217774, 77.33524107081621 31.11931764180683, 77.33527054148816 31.11941124750191, 77.33530904521332 31.119501513828986, 77.33535621117977 31.119587571474, 77.33541158515347 31.119668591654776, 77.33547463385277 31.119743794102686, 77.33554475008424 31.119812454577048, 77.33562125859024 31.11987391183996, 77.35031975859025 31.13053791183996))",171201,Shimla,-,Unnamed Zone,trunk,50,31.1190645,77.3362085
"POLYGON ((77.31379015309149 31.098780310089438, 77.31388353755992 31.098810474434462, 77.31397942897945 31.098831340251373, 77.3140769038633 31.098842706590947, 77.31417502347503 31.098844463989124, 77.31427284286917 31.098836595521192, 77.31436941999145 31.098819176964803, 77.31446382475141 31.09879237607018, 77.3145551479796 31.09875645094458, 77.3146425101834 31.09871174756661, 77.31472507001705 31.098658696454233, 77.3148020323842 31.09859780851866, 77.31487265609519 31.098529670144003, 77.31493626100507 31.09845493754005, 77.31499223456382 31.098374330422637, 77.31504003771542 31.09828862508236, 77.31507921008944 31.098198646908504, 77.31510937443446 31.098105262440072, 77.31513024025136 31.098009371020535, 77.31514160659094 31.097911896136694, 77.31514336398912 31.097813776524955, 77.31513549552119 31.097715957130827, 77.3151180769648 31.097619380008542, 77.31509127607018 31.097524975248582, 77.31505535094458 31.097433652020396, 77.31501064756661 31.097346289816592, 77.31495759645422 31.09726372998295, 77.31489670851866 31.097186767615796, 77.314828570144 31.097116143904802, 77.31475383754005 31.097052538994912, 77.31467323042263 31.09699656543618, 77.31458752508236 31.096948762284566, 77.3144975469085 31.09690958991056, 77.2887218969085 31.08716278991056, 77.28862851244007 31.087132625565538, 77.28853262102054 31.087111759748627, 77.28843514613669 31.087100393409052, 77.28833702652496 31.087098636010875, 77.28823920713081 31.087106504478808, 77.28814263000854 31.087123923035197, 77.28804822524857 31.08715072392982, 77.28795690202038 31.08718664905542, 77.28786953981658 31.08723135243339, 77.28778697998294 31.087284403545766, 77.2877100176158 31.087345291481338, 77.2876393939048 31.087413429855996, 77.28757578899491 31.087488162459948, 77.28751981543617 31.087568769577363, 77.28747201228457 31.08765447491764, 77.28743283991055 31.087744453091496, 77.28740267556553 31.087837837559928, 77.28738180974862 31.087933728979465, 77.28737044340905 31.088031203863306, 77.28736868601086 31.088129323475044, 77.2873765544788 31.088227142869172, 77.2873939730352 31.088323719991457, 77.28742077392981 31.088418124751417, 77.28745669905541 31.088509447979604, 77.28750140243338 31.088596810183407, 77.28755445354577 31.08867937001705, 77.28761534148133 31.088756332384204, 77.28768347985599 31.088826956095197, 77.28775821245993 31.088890561005087, 77.28783881957736 31.08894653456382, 77.28792452491763 31.088994337715434, 77.28801450309149 31.08903351008944, 77.31379015309149 31.098780310089438))",171209,Shimla,-,Unnamed Zone,trunk,50,31.08809815,77.2883682
"POLYGON ((77.3741077 31.1179148, 77.386988 31.1394815, 77.3796925 31.1926645, 77.376184 31.1654775, 77.3741077 31.1179148))",171212,Shimla,-,Unnamed Zone,trunk,50,31.1926645,77.3796925
"POLYGON ((77.4274379 31.2404998, 77.5015075 31.244066, 77.5007135 31.248862, 77.4429605 31.2857665, 77.4274379 31.2404998))",171213,Shimla,-,Unnamed Zone,service,30,31.2555501,77.4602757
