District,Zone ID,Zone Name,Zone Type,Zone Speed Limit,Latitude,Longitude,Pincode
Kolhapur,Z100,Uchgaon Main Road,secondary,40,16.6974683,74.27398775,416005
Kolhapur,-,Unnamed Zone,residential,40,16.7090019,74.23574015,416003
Kolhapur,Z101,Old Chandur Road,residential,30,16.6831509,74.4463115,416115
Kolhapur,Z102,Amrutnagar road,residential,20,16.6772509,74.27795655,416004
Kolhapur,Z103,SANKAPAL COMPLEX ROAD,residential,20,16.69463275,74.2739333,416005
Kolhapur,Z104,Unchgoan Highway,trunk,70,16.5977121,74.3070546,416234
Kolhapur,Z105,Kumbhar Galli,residential,20,16.45091955,74.27067925,416235
Kolhapur,Z106,Road,residential,30,16.45016185,74.26800175,416235
Kolhapur,Z106,Road,residential,20,16.44992685,74.2679626,416235
Kolhapur,Z107,Chavadi Galli,residential,40,16.4536516,74.2706498,416235
Kolhapur,Z108,Stand Galli Road,residential,30,16.4540214,74.27169745,416235
Kolhapur,-,Unnamed Zone,living_street,20,16.4545533,74.26599135,416235
Kolhapur,Z109,Todkar Malwadi,residential,20,16.45688205,74.26773655,416235
Kolhapur,-,Unnamed Zone,residential,20,16.4576248,74.26853345,416235
Kolhapur,Z110,Sonage-Bastawade Road,unclassified,40,16.4380699,74.2756486,416235
Kolhapur,-,Unnamed Zone,tertiary,40,16.4386608,74.2510111,416235
Kolhapur,Z101,Old Chandur Road,unclassified,30,16.683766,74.4527647,416115
Kolhapur,Z111,Chikhali Road,unclassified,40,16.414499,74.31113085,416235
Kolhapur,Z111,Chikhali Road,unclassified,40,16.4486578,74.31617695,416235
Kolhapur,Z111,Chikhali Road,unclassified,40,16.428362,74.31621965,Pincode Not Found
Kolhapur,Z111,Chikhali Road,unclassified,40,16.4282354,74.31610625,Pincode Not Found
Kolhapur,Z112,Kodni Road,unclassified,40,16.42824385,74.31639935,Pincode Not Found
Kolhapur,-,Unnamed Zone,tertiary,30,16.41403135,74.1837582,416219
Kolhapur,Z113,shindewadi road,track,60,16.3907645,74.20202395,416219
Kolhapur,Z114,Hindustan Galli,residential,50,16.4013932,74.20091715,416219
Kolhapur,Z115,Jai jawan galli,service,60,16.4020695,74.2010269,416219
Kolhapur,Z116,kranti galli,service,60,16.40170085,74.20094945,416219
Kolhapur,-,Unnamed Zone,unclassified,40,16.4520218,74.233125,416235
Kolhapur,Z101,Old Chandur Road,residential,30,16.6814944,74.43259055,416116
Kolhapur,-,Unnamed Zone,tertiary,30,16.40627675,74.18996395,416219
Kolhapur,-,Unnamed Zone,unclassified,40,16.45599465,74.2303695,416235
Kolhapur,-,Unnamed Zone,unclassified,40,16.4559119,74.230391,416235
Kolhapur,Z117,Bramhpuri Road,living_street,40,16.5768106,74.3152201,416216
Kolhapur,Z118,sadashivrav mandlik college road shindewadi,residential,60,16.39400365,74.19080105,416219
Kolhapur,Z119,SANKAPAL HOUSE ROAD,unclassified,10,16.69414405,74.2729518,416005
Kolhapur,Z104,Unchgoan Highway,trunk,70,16.69259035,74.27511615,416005
Kolhapur,Z104,Unchgoan Highway,trunk,70,16.6924328,74.27505585,416005
Kolhapur,Z104,Unchgoan Highway,trunk,70,16.66937395,74.2688058,416004
Kolhapur,Z104,Unchgoan Highway,trunk,70,16.6685962,74.26862665,416004
Kolhapur,Z120,Kosti gali,residential,20,16.57701525,74.31314115,416216
Kolhapur,Z121,Kosti Galli,residential,20,16.5760538,74.31268895,416216
Kolhapur,-,Unnamed Zone,residential,20,16.57579685,74.3129765,416216
Kolhapur,-,Unnamed Zone,residential,20,16.5746544,74.3153389,416216
Kolhapur,-,Unnamed Zone,residential,30,16.5748871,74.31208885,416216
Kolhapur,-,Unnamed Zone,residential,30,16.57462845,74.3111975,416216
Kolhapur,-,Unnamed Zone,residential,30,16.57467095,74.31185785,416216
Kolhapur,-,Unnamed Zone,residential,20,16.6660068,74.3966452,416202
Kolhapur,-,Unnamed Zone,residential,20,16.6649,74.3963664,416202
Kolhapur,Z122,Chhatrapati Sambhaji Maharaj Bridge,unclassified,40,16.8432725,74.53637045,416416
