geometry,Pincode,District,Zone ID,Zone Name,Zone Type,Zone Speed Limit,Latitude,Longitude
"POLYGON ((74.23674015 16.7090019, 74.23673533472667 16.70890388285967, 74.2367209352804 16.708806809677984, 74.23669709033572 16.708711615322745, 74.2366640295325 16.708619216567634, 74.23662207126435 16.708530503263173, 74.2365716196123 16.708446329766982, 74.23651316045336 16.708367506715838, 74.23644725678119 16.708294793218815, 74.23637454328416 16.70822888954664, 74.23629572023302 16.7081704303877, 74.23621154673683 16.708119978735652, 74.23612283343236 16.70807802046749, 74.23603043467725 16.708044959664267, 74.23593524032201 16.708021114719596, 74.23583816714033 16.708006715273328, 74.23574015 16.7080019, 74.23564213285967 16.708006715273328, 74.23554505967799 16.708021114719596, 74.23544986532275 16.708044959664267, 74.23535746656763 16.70807802046749, 74.23526875326317 16.708119978735652, 74.23518457976698 16.7081704303877, 74.23510575671584 16.70822888954664, 74.2350330432188 16.708294793218815, 74.23496713954664 16.708367506715838, 74.23490868038769 16.708446329766982, 74.23485822873565 16.708530503263173, 74.23481627046749 16.708619216567634, 74.23478320966427 16.708711615322745, 74.2347593647196 16.708806809677984, 74.23474496527332 16.70890388285967, 74.23474015 16.7090019, 74.23474496527332 16.709099917140332, 74.2347593647196 16.709196990322017, 74.23478320966427 16.709292184677256, 74.23481627046749 16.709384583432367, 74.23485822873565 16.709473296736828, 74.23490868038769 16.70955747023302, 74.23496713954664 16.709636293284163, 74.2350330432188 16.709709006781186, 74.23510575671584 16.709774910453362, 74.23518457976698 16.7098333696123, 74.23526875326317 16.70988382126435, 74.23535746656763 16.70992577953251, 74.23544986532275 16.709958840335734, 74.23554505967799 16.709982685280405, 74.23564213285967 16.709997084726673, 74.23574015 16.7100019, 74.23583816714033 16.709997084726673, 74.23593524032201 16.709982685280405, 74.23603043467725 16.709958840335734, 74.23612283343236 16.70992577953251, 74.23621154673683 16.70988382126435, 74.23629572023302 16.7098333696123, 74.23637454328416 16.709774910453362, 74.23644725678119 16.709709006781186, 74.23651316045336 16.709636293284163, 74.2365716196123 16.70955747023302, 74.23662207126435 16.709473296736828, 74.2366640295325 16.709384583432367, 74.23669709033572 16.709292184677256, 74.2367209352804 16.709196990322017, 74.23673533472667 16.709099917140332, 74.23674015 16.7090019))",416003,Kolhapur,-,Unnamed Zone,residential,40,16.7090019,74.23574015
"POLYGON ((74.26862665 16.6685962, 74.27795655 16.6772509, 74.2688058 16.66937395, 74.26862665 16.6685962))",416004,Kolhapur,Z102,Amrutnagar road,residential,20,16.6772509,74.27795655
"POLYGON ((74.27398775 16.6974683, 74.2729518 16.69414405, 74.27505585 16.6924328, 74.27511615 16.69259035, 74.27398775 16.6974683))",416005,Kolhapur,Z100,Uchgaon Main Road,secondary,40,16.6974683,74.27398775
"POLYGON ((74.45266981301367 16.68476148805107, 74.45276784481244 16.684765995055063, 74.45286584632495 16.684760871560027, 74.45296287374306 16.68474616690801, 74.45305799263969 16.684722022712858, 74.45315028696787 16.684688671496367, 74.45323886788276 16.684646434448982, 74.45332288230175 16.68459571833656, 74.45340152112003 16.684537011582982, 74.4534740270028 16.684470879566387, 74.45353970167876 16.68439795917424, 74.45359791266492 16.68431895266978, 74.45364809935764 16.684234620928837, 74.45368977843161 16.684145776112175, 74.4537225484946 16.684053273843944, 74.45374609395296 16.683958004971558, 74.45376018805108 16.68386088698633, 74.45376469505507 16.68376285518756, 74.45375957156003 16.68366485367505, 74.45374486690801 16.68356782625694, 74.45372072271286 16.683472707360313, 74.45368737149637 16.683380413032133, 74.45364513444899 16.683291832117238, 74.45359441833656 16.683207817698257, 74.45353571158299 16.68312917887998, 74.45346957956639 16.683056672997207, 74.45339665917425 16.68299099832123, 74.45331765266978 16.68293278733508, 74.45323332092885 16.682882600642372, 74.45314447611217 16.682840921568392, 74.45305197384394 16.68280815150541, 74.45295670497156 16.682784606047043, 74.45285958698634 16.682770511948927, 74.44640638698633 16.68215541194893, 74.44630835518755 16.682150904944937, 74.44621035367504 16.682156028439973, 74.44611332625693 16.68217073309199, 74.44601820736031 16.68219487728714, 74.44592591303213 16.682228228503632, 74.44583733211724 16.682270465551017, 74.44575331769825 16.68232118166344, 74.44567467887997 16.682379888417017, 74.4456021729972 16.682446020433613, 74.44553649832123 16.68251894082576, 74.44547828733508 16.68259794733022, 74.44542810064236 16.682682279071162, 74.44538642156839 16.682771123887825, 74.4453536515054 16.682863626156056, 74.44533010604704 16.68295889502844, 74.44531601194892 16.68305601301367, 74.44531150494493 16.68315404481244, 74.44531662843997 16.68325204632495, 74.44533133309199 16.68334907374306, 74.44535547728714 16.683444192639687, 74.44538882850362 16.683536486967867, 74.445431065551 16.683625067882762, 74.44548178166343 16.683709082301743, 74.44554048841701 16.68378772112002, 74.44560662043361 16.683860227002793, 74.44567954082575 16.68392590167877, 74.44575854733021 16.68398411266492, 74.44584287907115 16.684034299357627, 74.44593172388782 16.684075978431608, 74.44602422615606 16.68410874849459, 74.44611949502844 16.684132293952956, 74.44621661301366 16.684146388051072, 74.45266981301367 16.68476148805107))",416115,Kolhapur,Z101,Old Chandur Road,residential,30,16.6831509,74.4463115
"POLYGON ((74.43359055 16.6814944, 74.43358573472668 16.681396382859667, 74.4335713352804 16.681299309677982, 74.43354749033573 16.681204115322743, 74.43351442953251 16.68111171656763, 74.43347247126435 16.68102300326317, 74.43342201961231 16.68093882976698, 74.43336356045336 16.680860006715836, 74.43329765678119 16.680787293218813, 74.43322494328416 16.680721389546637, 74.43314612023302 16.680662930387697, 74.43306194673683 16.68061247873565, 74.43297323343236 16.680570520467487, 74.43288083467725 16.680537459664265, 74.43278564032201 16.680513614719594, 74.43268856714033 16.680499215273326, 74.43259055 16.680494399999997, 74.43249253285967 16.680499215273326, 74.43239545967799 16.680513614719594, 74.43230026532275 16.680537459664265, 74.43220786656764 16.680570520467487, 74.43211915326317 16.68061247873565, 74.43203497976698 16.680662930387697, 74.43195615671584 16.680721389546637, 74.43188344321881 16.680787293218813, 74.43181753954664 16.680860006715836, 74.43175908038769 16.68093882976698, 74.43170862873565 16.68102300326317, 74.4316666704675 16.68111171656763, 74.43163360966427 16.681204115322743, 74.4316097647196 16.681299309677982, 74.43159536527332 16.681396382859667, 74.43159055 16.6814944, 74.43159536527332 16.68159241714033, 74.4316097647196 16.681689490322015, 74.43163360966427 16.681784684677254, 74.4316666704675 16.681877083432365, 74.43170862873565 16.681965796736826, 74.43175908038769 16.682049970233017, 74.43181753954664 16.68212879328416, 74.43188344321881 16.682201506781183, 74.43195615671584 16.68226741045336, 74.43203497976698 16.6823258696123, 74.43211915326317 16.682376321264346, 74.43220786656764 16.68241827953251, 74.43230026532275 16.68245134033573, 74.43239545967799 16.682475185280403, 74.43249253285967 16.68248958472667, 74.43259055 16.6824944, 74.43268856714033 16.68248958472667, 74.43278564032201 16.682475185280403, 74.43288083467725 16.68245134033573, 74.43297323343236 16.68241827953251, 74.43306194673683 16.682376321264346, 74.43314612023302 16.6823258696123, 74.43322494328416 16.68226741045336, 74.43329765678119 16.682201506781183, 74.43336356045336 16.68212879328416, 74.43342201961231 16.682049970233017, 74.43347247126435 16.681965796736826, 74.43351442953251 16.681877083432365, 74.43354749033573 16.681784684677254, 74.4335713352804 16.681689490322015, 74.43358573472668 16.68159241714033, 74.43359055 16.6814944))",416116,Kolhapur,Z101,Old Chandur Road,residential,30,16.6814944,74.43259055
"POLYGON ((74.39733610804011 16.664655733103025, 74.39730749628814 16.664561861305852, 74.39726982126444 16.664471245969153, 74.39722344580011 16.664384759768147, 74.39716881651623 16.664303235612238, 74.39710645952263 16.664227458623603, 74.39703697535128 16.664158158576072, 74.39696103317273 16.664096002866987, 74.39687936435166 16.664041590089802, 74.39679275540348 16.663995444269304, 74.39670204041968 16.663958009814976, 74.39660809303517 16.663929647241073, 74.3965118180146 16.663910629694687, 74.39641414253906 16.663901140325187, 74.39631600727677 16.663901270520387, 74.39621835732395 16.663911019026436, 74.39612213310303 16.663930291959897, 74.39602826130586 16.663958903711876, 74.39593764596916 16.663996578735564, 74.39585115976816 16.664042954199893, 74.39576963561224 16.664097583483784, 74.3956938586236 16.66415994047737, 74.39562455857607 16.664229424648717, 74.39556240286699 16.66430536682727, 74.39550799008981 16.66438703564834, 74.3954618442693 16.66447364459653, 74.39542440981498 16.66456435958032, 74.39539604724108 16.66465830696484, 74.3953770296947 16.664754581985406, 74.3953675403252 16.664852257460947, 74.3953676705204 16.664950392723235, 74.39537741902645 16.665048042676055, 74.3953966919599 16.665144266896974, 74.39567549195989 16.666251066896976, 74.39570410371186 16.66634493869415, 74.39574177873556 16.666435554030848, 74.39578815419989 16.666522040231854, 74.39584278348377 16.666603564387763, 74.39590514047737 16.666679341376398, 74.39597462464872 16.66674864142393, 74.39605056682727 16.666810797133014, 74.39613223564834 16.6668652099102, 74.39621884459652 16.666911355730697, 74.39630955958032 16.666948790185025, 74.39640350696483 16.66697715275893, 74.3964997819854 16.666996170305314, 74.39659745746094 16.667005659674814, 74.39669559272323 16.667005529479614, 74.39679324267605 16.666995780973565, 74.39688946689697 16.666976508040104, 74.39698333869414 16.666947896288125, 74.39707395403084 16.666910221264438, 74.39716044023184 16.66686384580011, 74.39724196438776 16.666809216516217, 74.3973177413764 16.666746859522632, 74.39738704142393 16.666677375351284, 74.39744919713301 16.66660143317273, 74.39750360991019 16.666519764351662, 74.3975497557307 16.66643315540347, 74.39758719018502 16.66634244041968, 74.39761555275892 16.666248493035162, 74.3976345703053 16.666152218014595, 74.3976440596748 16.666054542539054, 74.3976439294796 16.665956407276767, 74.39763418097355 16.665858757323946, 74.3976149080401 16.665762533103027, 74.39733610804011 16.664655733103025))",416202,Kolhapur,-,Unnamed Zone,residential,20,16.6660068,74.3966452
"POLYGON ((74.3111975 16.57462845, 74.3153389 16.5746544, 74.3152201 16.5768106, 74.31314115 16.57701525, 74.3111975 16.57462845))",416216,Kolhapur,Z117,Bramhpuri Road,living_street,40,16.5768106,74.3152201
"POLYGON ((74.1837582 16.41403135, 74.19080105 16.39400365, 74.20202395 16.3907645, 74.2010269 16.4020695, 74.1837582 16.41403135))",416219,Kolhapur,-,Unnamed Zone,tertiary,30,16.41403135,74.1837582
"POLYGON ((74.3080546 16.5977121, 74.30804978472668 16.597614082859668, 74.3080353852804 16.597517009677983, 74.30801154033573 16.597421815322743, 74.30797847953251 16.597329416567632, 74.30793652126435 16.59724070326317, 74.30788606961231 16.59715652976698, 74.30782761045336 16.597077706715837, 74.30776170678119 16.597004993218814, 74.30768899328416 16.596939089546638, 74.30761017023302 16.596880630387698, 74.30752599673683 16.59683017873565, 74.30743728343236 16.596788220467488, 74.30734488467725 16.596755159664266, 74.30724969032201 16.596731314719595, 74.30715261714033 16.596716915273326, 74.3070546 16.596712099999998, 74.30695658285967 16.596716915273326, 74.30685950967799 16.596731314719595, 74.30676431532275 16.596755159664266, 74.30667191656764 16.596788220467488, 74.30658320326317 16.59683017873565, 74.30649902976698 16.596880630387698, 74.30642020671584 16.596939089546638, 74.30634749321881 16.597004993218814, 74.30628158954664 16.597077706715837, 74.30622313038769 16.59715652976698, 74.30617267873565 16.59724070326317, 74.3061307204675 16.597329416567632, 74.30609765966427 16.597421815322743, 74.3060738147196 16.597517009677983, 74.30605941527332 16.597614082859668, 74.3060546 16.5977121, 74.30605941527332 16.59781011714033, 74.3060738147196 16.597907190322015, 74.30609765966427 16.598002384677255, 74.3061307204675 16.598094783432366, 74.30617267873565 16.598183496736826, 74.30622313038769 16.598267670233017, 74.30628158954664 16.59834649328416, 74.30634749321881 16.598419206781184, 74.30642020671584 16.59848511045336, 74.30649902976698 16.5985435696123, 74.30658320326317 16.598594021264347, 74.30667191656764 16.59863597953251, 74.30676431532275 16.598669040335732, 74.30685950967799 16.598692885280403, 74.30695658285967 16.59870728472667, 74.3070546 16.5987121, 74.30715261714033 16.59870728472667, 74.30724969032201 16.598692885280403, 74.30734488467725 16.598669040335732, 74.30743728343236 16.59863597953251, 74.30752599673683 16.598594021264347, 74.30761017023302 16.5985435696123, 74.30768899328416 16.59848511045336, 74.30776170678119 16.598419206781184, 74.30782761045336 16.59834649328416, 74.30788606961231 16.598267670233017, 74.30793652126435 16.598183496736826, 74.30797847953251 16.598094783432366, 74.30801154033573 16.598002384677255, 74.3080353852804 16.597907190322015, 74.30804978472668 16.59781011714033, 74.3080546 16.5977121))",416234,Kolhapur,Z104,Unchgoan Highway,trunk,70,16.5977121,74.3070546
"POLYGON ((74.31113085 16.414499, 74.31617695 16.4486578, 74.26853345 16.4576248, 74.2303695 16.45599465, 74.230391 16.4559119, 74.233125 16.4520218, 74.2510111 16.4386608, 74.31113085 16.414499))",416235,Kolhapur,Z105,Kumbhar Galli,residential,20,16.45091955,74.27067925
